analysis_set,factor,value,run_count,distinct_routes,mean_validation_survival,mean_validation_worst_regret,mean_final_survival,mean_final_worst_regret,mean_effective_fraction
B4-focused-rho0,S,3,8,2,1.0,0.22955317222866709,0.96875,0.37707002650502974,0.9784996899697775
B4-focused-rho0,S,5,8,1,1.0,0.1912107947582657,1.0,0.3163114558213304,0.9752607171672473
B4-focused-rho0,S,8,8,1,1.0,0.1588192674881542,1.0,0.3163114558213304,0.9804750290077271
B4-focused-rho0,S,12,8,1,1.0,0.1588192674881542,1.0,0.3163114558213304,0.9848468884814319
B4-focused-rho0,eta,0.0,8,2,1.0,0.17501503112320993,1.0,0.3163114558213304,1.0
B4-focused-rho0,eta,0.25,8,2,1.0,0.17501503112320993,1.0,0.3163114558213304,0.9955812446099959
B4-focused-rho0,eta,0.5,8,3,1.0,0.18779582361334374,0.9895833333333333,0.3365643127158968,0.981651443030005
B4-focused-rho0,eta,1.0,8,3,1.0,0.20057661610347755,0.9791666666666666,0.3568171696104633,0.9418496369861828
B4-focused-rho0,T,3,16,3,1.0,0.18140542736827683,0.9947916666666666,0.32643788426861364,0.9903937761313795
B4-focused-rho0,T,5,16,3,1.0,0.18779582361334374,0.9895833333333333,0.3365643127158968,0.9691473861817125
matched-B5-settings,rho,0.0,24,3,1.0,0.18779582361334377,0.9895833333333334,0.3365643127158968,0.9730274415420612
matched-B5-settings,rho,0.1,24,3,1.0,0.1792752952865879,0.9965277777777777,0.3230624081195192,0.9813676534369339
matched-B5-settings,rho,0.25,24,3,1.0,0.1792752952865879,0.9965277777777777,0.3230624081195192,0.9898394101581012
matched-B5-settings,rho,0.5,24,2,1.0,0.17501503112320993,1.0,0.3163114558213304,0.9975383218644446
