S,T,eta,inner_solver,objective,rho,run_family,run_id,weight_signal,final_assignment,trajectory_distinct_routes,final_weight_entropy,final_effective_environments,final_effective_fraction,final_maximum_weight,minimum_effective_environments,all_exact_best_response_checks_pass,training_scenario_count,training_mean_cost,training_median_cost,training_mean_regret,training_median_regret,training_worst_regret,training_survival_rate,training_violating_scenarios,training_mean_overflow,training_maximum_overflow,training_mean_maximum_utilization,training_worst_maximum_utilization,training_mean_weighted_latency,training_maximum_weighted_latency,training_nominal_cost,training_nominal_feasible,validation_scenario_count,validation_mean_cost,validation_median_cost,validation_mean_regret,validation_median_regret,validation_worst_regret,validation_survival_rate,validation_violating_scenarios,validation_mean_overflow,validation_maximum_overflow,validation_mean_maximum_utilization,validation_worst_maximum_utilization,validation_mean_weighted_latency,validation_maximum_weighted_latency,validation_nominal_cost,validation_nominal_feasible,final_scenario_count,final_mean_cost,final_median_cost,final_mean_regret,final_median_regret,final_worst_regret,final_survival_rate,final_violating_scenarios,final_mean_overflow,final_maximum_overflow,final_mean_maximum_utilization,final_worst_maximum_utilization,final_mean_weighted_latency,final_maximum_weighted_latency,final_nominal_cost,final_nominal_feasible,selected_adaptive_on_validation,selected_static_on_validation,original_s3_static_control
3,3,0.0,exact exhaustive best response over the jointly training-feasible domain,weighted normalized cost,0.0,B4-focused,B4-focused-s3-eta0-t3-rho0,"per-scenario normalized regret clipped to [0,1]","[1,0,2,2]",1,1.0986122886681096,2.9999999999999996,0.9999999999999999,0.3333333333333333,2.9999999999999996,True,3,0.24514054470174573,0.24864864864864877,0.12565574562333096,0.03888586216289861,0.33808137470709426,1.0,0,0.0,0.0,0.6333333333333333,1.0,35.5,40.1,0.24864864864864877,True,16,0.2519585276512321,0.24864864864864877,0.0704474852850961,0.06280786490896526,0.1912107947582657,1.0,0,0.0,0.0,0.44483333333333336,0.5333333333333333,35.642925,38.51,0.24864864864864877,True,24,0.24965568176117156,0.24864864864864877,0.07544481237202914,0.05861221246840592,0.3163114558213304,1.0,0,0.0,0.0,0.45804232804232803,0.6190476190476192,36.1375,43.160000000000004,0.24864864864864877,True,False,False,True
3,5,0.0,exact exhaustive best response over the jointly training-feasible domain,weighted normalized cost,0.0,B4-focused,B4-focused-s3-eta0-t5-rho0,"per-scenario normalized regret clipped to [0,1]","[1,0,2,2]",1,1.0986122886681096,2.9999999999999996,0.9999999999999999,0.3333333333333333,2.9999999999999996,True,3,0.24514054470174573,0.24864864864864877,0.12565574562333096,0.03888586216289861,0.33808137470709426,1.0,0,0.0,0.0,0.6333333333333333,1.0,35.5,40.1,0.24864864864864877,True,16,0.2519585276512321,0.24864864864864877,0.0704474852850961,0.06280786490896526,0.1912107947582657,1.0,0,0.0,0.0,0.44483333333333336,0.5333333333333333,35.642925,38.51,0.24864864864864877,True,24,0.24965568176117156,0.24864864864864877,0.07544481237202914,0.05861221246840592,0.3163114558213304,1.0,0,0.0,0.0,0.45804232804232803,0.6190476190476192,36.1375,43.160000000000004,0.24864864864864877,True,False,False,False
3,3,0.25,exact exhaustive best response over the jointly training-feasible domain,weighted normalized cost,0.0,B4-focused,B4-focused-s3-eta0p25-t3-rho0,"per-scenario normalized regret clipped to [0,1]","[1,0,2,2]",1,1.0956704952874212,2.9911875883603747,0.9970625294534582,0.3696135109081617,2.9911875883603747,True,3,0.24514054470174573,0.24864864864864877,0.12565574562333096,0.03888586216289861,0.33808137470709426,1.0,0,0.0,0.0,0.6333333333333333,1.0,35.5,40.1,0.24864864864864877,True,16,0.2519585276512321,0.24864864864864877,0.0704474852850961,0.06280786490896526,0.1912107947582657,1.0,0,0.0,0.0,0.44483333333333336,0.5333333333333333,35.642925,38.51,0.24864864864864877,True,24,0.24965568176117156,0.24864864864864877,0.07544481237202914,0.05861221246840592,0.3163114558213304,1.0,0,0.0,0.0,0.45804232804232803,0.6190476190476192,36.1375,43.160000000000004,0.24864864864864877,True,False,False,False
3,5,0.25,exact exhaustive best response over the jointly training-feasible domain,weighted normalized cost,0.0,B4-focused,B4-focused-s3-eta0p25-t5-rho0,"per-scenario normalized regret clipped to [0,1]","[1,0,2,2]",1,1.086543257931656,2.9640105236942076,0.9880035078980692,0.4074063718397837,2.9640105236942076,True,3,0.24514054470174573,0.24864864864864877,0.12565574562333096,0.03888586216289861,0.33808137470709426,1.0,0,0.0,0.0,0.6333333333333333,1.0,35.5,40.1,0.24864864864864877,True,16,0.2519585276512321,0.24864864864864877,0.0704474852850961,0.06280786490896526,0.1912107947582657,1.0,0,0.0,0.0,0.44483333333333336,0.5333333333333333,35.642925,38.51,0.24864864864864877,True,24,0.24965568176117156,0.24864864864864877,0.07544481237202914,0.05861221246840592,0.3163114558213304,1.0,0,0.0,0.0,0.45804232804232803,0.6190476190476192,36.1375,43.160000000000004,0.24864864864864877,True,False,False,False
3,3,0.5,exact exhaustive best response over the jointly training-feasible domain,weighted normalized cost,0.0,B4-focused,B4-focused-s3-eta0p5-t3-rho0,"per-scenario normalized regret clipped to [0,1]","[1,0,2,2]",1,1.0865432579316558,2.964010523694207,0.988003507898069,0.40740637183978384,2.964010523694207,True,3,0.24514054470174573,0.24864864864864877,0.12565574562333096,0.03888586216289861,0.33808137470709426,1.0,0,0.0,0.0,0.6333333333333333,1.0,35.5,40.1,0.24864864864864877,True,16,0.2519585276512321,0.24864864864864877,0.0704474852850961,0.06280786490896526,0.1912107947582657,1.0,0,0.0,0.0,0.44483333333333336,0.5333333333333333,35.642925,38.51,0.24864864864864877,True,24,0.24965568176117156,0.24864864864864877,0.07544481237202914,0.05861221246840592,0.3163114558213304,1.0,0,0.0,0.0,0.45804232804232803,0.6190476190476192,36.1375,43.160000000000004,0.24864864864864877,True,False,False,False
3,5,0.5,exact exhaustive best response over the jointly training-feasible domain,weighted normalized cost,0.0,B4-focused,B4-focused-s3-eta0p5-t5-rho0,"per-scenario normalized regret clipped to [0,1]","[0,1,1,2]",2,1.048741626343954,2.854057386780633,0.951352462260211,0.48584724206251007,2.854057386780633,True,3,0.25841886325433555,0.26954498802600063,0.11486921196333766,0.11244053113683199,0.12322936529555982,1.0,0,0.0,0.0,0.8333333333333334,1.0,33.300000000000004,37.9,0.28690347490347495,True,16,0.28373336153483575,0.28380850713013356,0.14421907671440867,0.1240362002316939,0.29345713467933615,1.0,0,0.0,0.0,0.7230135102821617,0.910569105691057,33.1678,35.64999999999999,0.28690347490347495,True,24,0.2789466409555786,0.28158120476226334,0.14699017224752253,0.11848369945844597,0.4783343109778619,0.9166666666666666,2,0.03333333333333336,0.40000000000000036,0.7585978835978836,1.1111111111111112,33.91166666666667,40.300000000000004,0.28690347490347495,True,False,False,False
3,3,1.0,exact exhaustive best response over the jointly training-feasible domain,weighted normalized cost,0.0,B4-focused,B4-focused-s3-eta1-t3-rho0,"per-scenario normalized regret clipped to [0,1]","[0,1,1,2]",2,1.048741626343954,2.854057386780633,0.951352462260211,0.48584724206251,2.854057386780633,True,3,0.25841886325433555,0.26954498802600063,0.11486921196333766,0.11244053113683199,0.12322936529555982,1.0,0,0.0,0.0,0.8333333333333334,1.0,33.300000000000004,37.9,0.28690347490347495,True,16,0.28373336153483575,0.28380850713013356,0.14421907671440867,0.1240362002316939,0.29345713467933615,1.0,0,0.0,0.0,0.7230135102821617,0.910569105691057,33.1678,35.64999999999999,0.28690347490347495,True,24,0.2789466409555786,0.28158120476226334,0.14699017224752253,0.11848369945844597,0.4783343109778619,0.9166666666666666,2,0.03333333333333336,0.40000000000000036,0.7585978835978836,1.1111111111111112,33.91166666666667,40.300000000000004,0.28690347490347495,True,False,False,False
3,5,1.0,exact exhaustive best response over the jointly training-feasible domain,weighted normalized cost,0.0,B4-focused,B4-focused-s3-eta1-t5-rho0,"per-scenario normalized regret clipped to [0,1]","[0,1,1,2]",2,1.0496563132403622,2.8566691499646044,0.9522230499882015,0.48386320798507315,2.854057386780633,True,3,0.25841886325433555,0.26954498802600063,0.11486921196333766,0.11244053113683199,0.12322936529555982,1.0,0,0.0,0.0,0.8333333333333334,1.0,33.300000000000004,37.9,0.28690347490347495,True,16,0.28373336153483575,0.28380850713013356,0.14421907671440867,0.1240362002316939,0.29345713467933615,1.0,0,0.0,0.0,0.7230135102821617,0.910569105691057,33.1678,35.64999999999999,0.28690347490347495,True,24,0.2789466409555786,0.28158120476226334,0.14699017224752253,0.11848369945844597,0.4783343109778619,0.9166666666666666,2,0.03333333333333336,0.40000000000000036,0.7585978835978836,1.1111111111111112,33.91166666666667,40.300000000000004,0.28690347490347495,True,False,False,False
5,3,0.0,exact exhaustive best response over the jointly training-feasible domain,weighted normalized cost,0.0,B4-focused,B4-focused-s5-eta0-t3-rho0,"per-scenario normalized regret clipped to [0,1]","[1,0,2,2]",1,1.6094379124341005,5.000000000000001,1.0000000000000002,0.2,5.000000000000001,True,5,0.2532274403090463,0.24864864864864877,0.13048788645053103,0.11577099592593551,0.33808137470709426,1.0,0,0.0,0.0,0.5688888888888889,1.0,35.55,40.1,0.24864864864864877,True,16,0.2519585276512321,0.24864864864864877,0.0704474852850961,0.06280786490896526,0.1912107947582657,1.0,0,0.0,0.0,0.44483333333333336,0.5333333333333333,35.642925,38.51,0.24864864864864877,True,24,0.24965568176117156,0.24864864864864877,0.07544481237202914,0.05861221246840592,0.3163114558213304,1.0,0,0.0,0.0,0.45804232804232803,0.6190476190476192,36.1375,43.160000000000004,0.24864864864864877,True,False,False,False
5,5,0.0,exact exhaustive best response over the jointly training-feasible domain,weighted normalized cost,0.0,B4-focused,B4-focused-s5-eta0-t5-rho0,"per-scenario normalized regret clipped to [0,1]","[1,0,2,2]",1,1.6094379124341005,5.000000000000001,1.0000000000000002,0.2,5.000000000000001,True,5,0.2532274403090463,0.24864864864864877,0.13048788645053103,0.11577099592593551,0.33808137470709426,1.0,0,0.0,0.0,0.5688888888888889,1.0,35.55,40.1,0.24864864864864877,True,16,0.2519585276512321,0.24864864864864877,0.0704474852850961,0.06280786490896526,0.1912107947582657,1.0,0,0.0,0.0,0.44483333333333336,0.5333333333333333,35.642925,38.51,0.24864864864864877,True,24,0.24965568176117156,0.24864864864864877,0.07544481237202914,0.05861221246840592,0.3163114558213304,1.0,0,0.0,0.0,0.45804232804232803,0.6190476190476192,36.1375,43.160000000000004,0.24864864864864877,True,False,False,False
