S,eta,T,rho,baseline_run_id,mixed_run_id,baseline_assignment,mixed_assignment,route_changed,validation_survival_delta,validation_worst_regret_improvement,final_survival_delta,final_worst_regret_improvement,effective_fraction_increase
3,0.25,3,0.1,B4-focused-s3-eta0p25-t3-rho0,B5-diversity-s3-eta0p25-t3-rho0p1,"[1,0,2,2]","[1,0,2,2]",False,0.0,0.0,0.0,0.0,0.0007867926858302621
3,0.25,3,0.25,B4-focused-s3-eta0p25-t3-rho0,B5-diversity-s3-eta0p25-t3-rho0p25,"[1,0,2,2]","[1,0,2,2]",False,0.0,0.0,0.0,0.0,0.001668336909282253
3,0.25,3,0.5,B4-focused-s3-eta0p25-t3-rho0,B5-diversity-s3-eta0p25-t3-rho0p5,"[1,0,2,2]","[1,0,2,2]",False,0.0,0.0,0.0,0.0,0.002522716237085776
3,0.25,5,0.1,B4-focused-s3-eta0p25-t5-rho0,B5-diversity-s3-eta0p25-t5-rho0p1,"[1,0,2,2]","[1,0,2,2]",False,0.0,0.0,0.0,0.0,0.004780458500945217
3,0.25,5,0.25,B4-focused-s3-eta0p25-t5-rho0,B5-diversity-s3-eta0p25-t5-rho0p25,"[1,0,2,2]","[1,0,2,2]",False,0.0,0.0,0.0,0.0,0.008822027404060018
3,0.25,5,0.5,B4-focused-s3-eta0p25-t5-rho0,B5-diversity-s3-eta0p25-t5-rho0p5,"[1,0,2,2]","[1,0,2,2]",False,0.0,0.0,0.0,0.0,0.011337567390609982
3,0.5,3,0.1,B4-focused-s3-eta0p5-t3-rho0,B5-diversity-s3-eta0p5-t3-rho0p1,"[1,0,2,2]","[1,0,2,2]",False,0.0,0.0,0.0,0.0,0.003191843712212039
3,0.5,3,0.25,B4-focused-s3-eta0p5-t3-rho0,B5-diversity-s3-eta0p5-t3-rho0p25,"[1,0,2,2]","[1,0,2,2]",False,0.0,0.0,0.0,0.0,0.006785623454431011
3,0.5,3,0.5,B4-focused-s3-eta0p5-t3-rho0,B5-diversity-s3-eta0p5-t3-rho0p5,"[1,0,2,2]","[1,0,2,2]",False,0.0,0.0,0.0,0.0,0.010288967102622837
3,0.5,5,0.1,B4-focused-s3-eta0p5-t5-rho0,B5-diversity-s3-eta0p5-t5-rho0p1,"[0,1,1,2]","[1,0,2,2]",True,0.0,0.1022463399210704,0.08333333333333337,0.16202285515653148,0.019024974500118197
3,0.5,5,0.25,B4-focused-s3-eta0p5-t5-rho0,B5-diversity-s3-eta0p5-t5-rho0p25,"[0,1,1,2]","[1,0,2,2]",True,0.0,0.1022463399210704,0.08333333333333337,0.16202285515653148,0.03546926964881103
3,0.5,5,0.5,B4-focused-s3-eta0p5-t5-rho0,B5-diversity-s3-eta0p5-t5-rho0p5,"[0,1,1,2]","[1,0,2,2]",True,0.0,0.1022463399210704,0.08333333333333337,0.16202285515653148,0.04590209431849346
3,1.0,3,0.1,B4-focused-s3-eta1-t3-rho0,B5-diversity-s3-eta1-t3-rho0p1,"[0,1,1,2]","[1,0,2,2]",True,0.0,0.1022463399210704,0.08333333333333337,0.16202285515653148,0.012670558431110979
3,1.0,3,0.25,B4-focused-s3-eta1-t3-rho0,B5-diversity-s3-eta1-t3-rho0p25,"[0,1,1,2]","[1,0,2,2]",True,0.0,0.1022463399210704,0.08333333333333337,0.16202285515653148,0.027148147200361405
