run_id,run_family,S,eta,T,rho,iteration,assignment,all_tied_optima,tie_count,objective_value,weights,regrets,clipped_regrets,pre_mixing_weights,next_weights,weight_entropy,effective_environments,effective_fraction
B4-focused-s3-eta0-t3-rho0,B4-focused,3,0.0,3,0.0,0,"[1,0,2,2]","[[1,0,2,2]]",1,0.24514054470174573,"[0.3333333333333333,0.3333333333333333,0.3333333333333333]","[0.03888586216289861,0.0,0.33808137470709426]","[0.03888586216289861,0.0,0.33808137470709426]","[0.3333333333333333,0.3333333333333333,0.3333333333333333]","[0.3333333333333333,0.3333333333333333,0.3333333333333333]",1.0986122886681096,2.9999999999999996,0.9999999999999999
B4-focused-s3-eta0-t3-rho0,B4-focused,3,0.0,3,0.0,1,"[1,0,2,2]","[[1,0,2,2]]",1,0.24514054470174573,"[0.3333333333333333,0.3333333333333333,0.3333333333333333]","[0.03888586216289861,0.0,0.33808137470709426]","[0.03888586216289861,0.0,0.33808137470709426]","[0.3333333333333333,0.3333333333333333,0.3333333333333333]","[0.3333333333333333,0.3333333333333333,0.3333333333333333]",1.0986122886681096,2.9999999999999996,0.9999999999999999
B4-focused-s3-eta0-t3-rho0,B4-focused,3,0.0,3,0.0,2,"[1,0,2,2]","[[1,0,2,2]]",1,0.24514054470174573,"[0.3333333333333333,0.3333333333333333,0.3333333333333333]","[0.03888586216289861,0.0,0.33808137470709426]","[0.03888586216289861,0.0,0.33808137470709426]",,,1.0986122886681096,2.9999999999999996,0.9999999999999999
B4-focused-s3-eta0-t5-rho0,B4-focused,3,0.0,5,0.0,0,"[1,0,2,2]","[[1,0,2,2]]",1,0.24514054470174573,"[0.3333333333333333,0.3333333333333333,0.3333333333333333]","[0.03888586216289861,0.0,0.33808137470709426]","[0.03888586216289861,0.0,0.33808137470709426]","[0.3333333333333333,0.3333333333333333,0.3333333333333333]","[0.3333333333333333,0.3333333333333333,0.3333333333333333]",1.0986122886681096,2.9999999999999996,0.9999999999999999
B4-focused-s3-eta0-t5-rho0,B4-focused,3,0.0,5,0.0,1,"[1,0,2,2]","[[1,0,2,2]]",1,0.24514054470174573,"[0.3333333333333333,0.3333333333333333,0.3333333333333333]","[0.03888586216289861,0.0,0.33808137470709426]","[0.03888586216289861,0.0,0.33808137470709426]","[0.3333333333333333,0.3333333333333333,0.3333333333333333]","[0.3333333333333333,0.3333333333333333,0.3333333333333333]",1.0986122886681096,2.9999999999999996,0.9999999999999999
B4-focused-s3-eta0-t5-rho0,B4-focused,3,0.0,5,0.0,2,"[1,0,2,2]","[[1,0,2,2]]",1,0.24514054470174573,"[0.3333333333333333,0.3333333333333333,0.3333333333333333]","[0.03888586216289861,0.0,0.33808137470709426]","[0.03888586216289861,0.0,0.33808137470709426]","[0.3333333333333333,0.3333333333333333,0.3333333333333333]","[0.3333333333333333,0.3333333333333333,0.3333333333333333]",1.0986122886681096,2.9999999999999996,0.9999999999999999
B4-focused-s3-eta0-t5-rho0,B4-focused,3,0.0,5,0.0,3,"[1,0,2,2]","[[1,0,2,2]]",1,0.24514054470174573,"[0.3333333333333333,0.3333333333333333,0.3333333333333333]","[0.03888586216289861,0.0,0.33808137470709426]","[0.03888586216289861,0.0,0.33808137470709426]","[0.3333333333333333,0.3333333333333333,0.3333333333333333]","[0.3333333333333333,0.3333333333333333,0.3333333333333333]",1.0986122886681096,2.9999999999999996,0.9999999999999999
B4-focused-s3-eta0-t5-rho0,B4-focused,3,0.0,5,0.0,4,"[1,0,2,2]","[[1,0,2,2]]",1,0.24514054470174573,"[0.3333333333333333,0.3333333333333333,0.3333333333333333]","[0.03888586216289861,0.0,0.33808137470709426]","[0.03888586216289861,0.0,0.33808137470709426]",,,1.0986122886681096,2.9999999999999996,0.9999999999999999
B4-focused-s3-eta0p25-t3-rho0,B4-focused,3,0.25,3,0.0,0,"[1,0,2,2]","[[1,0,2,2]]",1,0.24514054470174573,"[0.3333333333333333,0.3333333333333333,0.3333333333333333]","[0.03888586216289861,0.0,0.33808137470709426]","[0.03888586216289861,0.0,0.33808137470709426]","[0.32594598257079654,0.32279266221485625,0.35126135521434726]","[0.32594598257079654,0.32279266221485625,0.35126135521434726]",1.0986122886681096,2.9999999999999996,0.9999999999999999
B4-focused-s3-eta0p25-t3-rho0,B4-focused,3,0.25,3,0.0,1,"[1,0,2,2]","[[1,0,2,2]]",1,0.24581361964011883,"[0.32594598257079654,0.32279266221485625,0.35126135521434726]","[0.03888586216289861,0.0,0.33808137470709426]","[0.03888586216289861,0.0,0.33808137470709426]","[0.3182572882876324,0.31212920080420586,0.3696135109081617]","[0.3182572882876324,0.31212920080420586,0.3696135109081617]",1.097887671420332,2.997826935671698,0.9992756452238992
