routes,canonical_bitstring,provider_bitstrings,counts,probability,one_hot,joint_feasible,assignment,weighted_cost,worst_case_regret,base_energy,transformed_energy,scenario_costs,scenario_regrets
"[0, 0, 1, 0, 0, 1, 0, 1, 0, 0, 1, 0, 1, 0, 0, 0, 0, 1]",001001010010100001,"[""100001010010100100""]",2,0.00048828125,True,True,"[2, 2, 1, 1, 0, 2]",0.3123059493060752,0.4063401323409187,0.3123059493060758,0.0035764676490107014,"{""degradation"": 0.2831477707740469, ""nominal"": 0.31294610277538754, ""surge"": 0.3408239743687912}","{""degradation"": 0.35461033261733077, ""nominal"": 0.244774006014658, ""surge"": 0.4063401323409187}"
"[0, 0, 1, 0, 1, 0, 0, 1, 0, 0, 0, 1, 0, 1, 0, 0, 0, 1]",001010010001010001,"[""100010100010010100""]",1,0.000244140625,True,True,"[2, 1, 1, 2, 1, 2]",0.3945777476337911,0.7078668109536744,0.39457774763379166,0.006543250345800584,"{""degradation"": 0.29922446614062637, ""nominal"": 0.4372019210891943, ""surge"": 0.44730685567155265}","{""degradation"": 0.43127741350042803, ""nominal"": 0.4966132472136609, ""surge"": 0.7078668109536744}"
"[0, 0, 1, 0, 1, 0, 1, 0, 0, 0, 1, 0, 0, 1, 0, 0, 0, 1]",001010100010010001,"[""100010010001010100""]",1,0.000244140625,True,True,"[2, 1, 0, 1, 1, 2]",0.26699176856781826,0.19882863268182072,0.26699176856781887,0.0019424043361126221,"{""degradation"": 0.24601089647842725, ""nominal"": 0.2874222502127334, ""surge"": 0.2675421590122943}","{""degradation"": 0.17751076828233375, ""nominal"": 0.19304276518358132, ""surge"": 0.19882863268182072}"
"[0, 0, 1, 1, 0, 0, 0, 0, 1, 0, 0, 1, 0, 0, 1, 0, 1, 0]",001100001001001010,"[""10100100100001100""]",1,0.000244140625,True,True,"[2, 0, 2, 2, 2, 1]",0.36456811110631887,0.5406980950867837,0.36456811110631904,0.005461080365365549,"{""degradation"": 0.3019532945081348, ""nominal"": 0.40347911368367434, ""surge"": 0.3882719251271476}","{""degradation"": 0.4442907412022623, ""nominal"": 0.4282645264587263, ""surge"": 0.5406980950867837}"
"[0, 0, 1, 1, 0, 0, 0, 1, 0, 0, 0, 1, 0, 0, 1, 0, 1, 0]",001100010001001010,"[""10100100010001100""]",1,0.000244140625,True,True,"[2, 0, 1, 2, 2, 1]",0.3633094543974741,0.5701601146620487,0.36330945439747453,0.005415692261289788,"{""degradation"": 0.269246155446731, ""nominal"": 0.4220058940324126, ""surge"": 0.3986763137132787}","{""degradation"": 0.2883158459456089, ""nominal"": 0.46581423936716726, ""surge"": 0.5701601146620487}"
"[0, 0, 1, 1, 0, 0, 0, 1, 0, 1, 0, 0, 1, 0, 0, 0, 1, 0]",001100010100100010,"[""10001001010001100""]",1,0.000244140625,True,False,"[2, 0, 1, 0, 0, 1]",0.23376721769714298,0.2593655756636237,0.23376721769714343,0.0007443021354156345,"{""degradation"": 0.2631754316009477, ""nominal"": 0.2090288307605033, ""surge"": 0.22909739072997803}","{""degradation"": 0.2593655756636237, ""nominal"": 0.03415652920881838, ""surge"": 0.08996490596462102}"
"[0, 0, 1, 1, 0, 0, 1, 0, 0, 0, 1, 0, 0, 0, 1, 1, 0, 0]",001100100010001100,"[""1100010001001100""]",1,0.000244140625,True,False,"[2, 0, 0, 1, 2, 0]",0.30122204522015295,0.3982743543699179,0.3012220452201533,0.0031767737621212037,"{""degradation"": 0.2923038931685648, ""nominal"": 0.2975886388438851, ""surge"": 0.313773603648009}","{""degradation"": 0.3982743543699179, ""nominal"": 0.21364780109535986, ""surge"": 0.3297418252807427}"
"[0, 1, 0, 0, 0, 1, 0, 0, 1, 0, 1, 0, 0, 1, 0, 1, 0, 0]",010001001010010100,"[""1010010100100010""]",1,0.000244140625,True,True,"[1, 2, 2, 1, 1, 0]",0.33730085342920363,0.5925506897279069,0.3373008534292038,0.0044778026212333386,"{""degradation"": 0.2512135259587114, ""nominal"": 0.354105582985188, ""surge"": 0.40658345134371154}","{""degradation"": 0.2023212412106763, ""nominal"": 0.32819522849619515, ""surge"": 0.5925506897279069}"
"[0, 1, 0, 0, 0, 1, 0, 1, 0, 0, 1, 0, 0, 1, 0, 1, 0, 0]",010001010010010100,"[""1010010010100010""]",1,0.000244140625,True,False,"[1, 2, 1, 1, 1, 0]",0.3479269018858163,0.6567003643909934,0.3479269018858169,0.004860985891042943,"{""degradation"": 0.22064487976899805, ""nominal"": 0.3938981861187364, ""surge"": 0.4292376397697145}","{""degradation"": 0.056544462060809875, ""nominal"": 0.40884609148578244, ""surge"": 0.6567003643909934}"
"[0, 1, 0, 0, 0, 1, 1, 0, 0, 1, 0, 0, 0, 0, 1, 1, 0, 0]",010001100100001100,"[""1100001001100010""]",1,0.000244140625,True,False,"[1, 2, 0, 0, 2, 0]",0.25846065022003284,0.4154832257331219,0.25846065022003334,0.0016347658158306323,"{""degradation"": 0.2959125056176385, ""nominal"": 0.2397165480007884, ""surge"": 0.2397528970416717}","{""degradation"": 0.4154832257331219, ""nominal"": 0.0963537890941063, ""surge"": 0.12013801348945394}"
