routes,canonical_bitstring,provider_bitstrings,counts,probability,one_hot,joint_feasible,assignment,weighted_cost,worst_case_regret,base_energy,transformed_energy,scenario_costs,scenario_regrets
"[0, 0, 0, 0, 1, 0, 0, 1, 0, 1, 0, 1, 0, 1, 0, 1, 0, 0]",000010010101010100,"[""000010010101010100""]",2,0.00048828125,False,False,,,,2.202832950424464,0.07175028794634343,{},{}
"[0, 0, 0, 0, 1, 0, 1, 0, 1, 0, 1, 0, 0, 0, 1, 0, 1, 1]",000010101010001011,"[""000010101010001011""]",2,0.00048828125,False,False,,,,3.5433965077291836,0.12009201435320259,{},{}
"[0, 0, 0, 0, 1, 1, 1, 0, 1, 1, 0, 0, 1, 0, 1, 1, 1, 0]",000011101100101110,"[""000011101100101110""]",2,0.00048828125,False,False,,,,6.006354596534102,0.20890812861484376,{},{}
"[0, 0, 0, 1, 0, 1, 0, 0, 0, 1, 0, 1, 0, 1, 1, 1, 0, 0]",000101000101011100,"[""000101000101011100""]",2,0.00048828125,False,False,,,,5.484074556757861,0.19007431901808805,{},{}
"[0, 0, 0, 1, 1, 1, 1, 1, 1, 1, 0, 0, 0, 0, 0, 0, 0, 1]",000111111100000001,"[""000111111100000001""]",2,0.00048828125,False,False,,,,10.913257845996586,0.3858547367020906,{},{}
"[0, 0, 1, 0, 0, 1, 1, 1, 0, 1, 0, 1, 0, 0, 0, 0, 1, 0]",001001110101000010,"[""001001110101000010""]",2,0.00048828125,False,False,,,,3.4926104291567865,0.11826063030412388,{},{}
"[0, 0, 1, 0, 1, 1, 0, 0, 0, 0, 1, 0, 1, 1, 0, 0, 0, 0]",001011000010110000,"[""001011000010110000""]",2,0.00048828125,False,False,,,,4.263095713016962,0.1460449069912854,{},{}
"[0, 0, 1, 1, 1, 1, 1, 0, 1, 1, 1, 1, 1, 0, 1, 1, 0, 0]",001111101111101100,"[""001111101111101100""]",2,0.00048828125,False,False,,,,11.904356438682251,0.4215944946186509,{},{}
"[0, 1, 0, 0, 0, 0, 0, 0, 1, 1, 1, 0, 0, 1, 0, 0, 1, 0]",010000001110010010,"[""010000001110010010""]",2,0.00048828125,False,False,,,,2.286346784826686,0.07476185939468041,{},{}
"[0, 1, 0, 0, 0, 1, 0, 1, 0, 0, 0, 1, 1, 1, 0, 1, 0, 1]",010001010001110101,"[""010001010001110101""]",2,0.00048828125,False,False,,,,2.7538465439488347,0.09162025102229825,{},{}
"[0, 1, 0, 0, 1, 0, 0, 0, 1, 0, 0, 0, 0, 1, 1, 1, 0, 1]",010010001000011101,"[""010010001000011101""]",2,0.00048828125,False,False,,,,3.5776289950367426,0.1213264634970951,{},{}
"[0, 1, 0, 0, 1, 0, 1, 0, 0, 0, 0, 1, 1, 0, 1, 1, 0, 0]",010010100001101100,"[""010010100001101100""]",2,0.00048828125,False,False,,,,1.4588595799867776,0.04492205072348684,{},{}
"[0, 1, 0, 1, 1, 1, 0, 0, 0, 1, 0, 1, 0, 1, 1, 0, 0, 0]",010111000101011000,"[""010111000101011000""]",2,0.00048828125,False,False,,,,8.74395258374491,0.30762796341013754,{},{}
"[0, 1, 0, 1, 1, 1, 0, 1, 0, 1, 1, 0, 1, 0, 1, 0, 0, 1]",010111010110101001,"[""010111010110101001""]",2,0.00048828125,False,False,,,,7.289490013213744,0.25517895323787865,{},{}
"[0, 1, 1, 0, 0, 1, 1, 1, 0, 1, 1, 0, 0, 0, 1, 1, 0, 1]",011001110110001101,"[""011001110110001101""]",2,0.00048828125,False,False,,,,5.285841484874615,0.18292588590310904,{},{}
"[0, 1, 1, 0, 1, 1, 1, 1, 1, 1, 0, 1, 1, 1, 0, 1, 0, 0]",011011111101110100,"[""011011111101110100""]",2,0.00048828125,False,False,,,,9.851253844207697,0.3475580766014026,{},{}
"[0, 1, 1, 1, 1, 0, 0, 1, 0, 0, 0, 1, 1, 1, 1, 1, 0, 1]",011110010001111101,"[""011110010001111101""]",2,0.00048828125,False,False,,,,8.62889531424487,0.30347891205559074,{},{}
"[1, 0, 0, 0, 0, 1, 1, 0, 0, 0, 0, 1, 0, 0, 1, 0, 0, 1]",100001100001001001,"[""100001100001001001""]",2,0.00048828125,True,False,"[0, 2, 0, 2, 2, 2]",0.3524152596043947,0.5867086785104906,0.35241525960439535,0.005022839433655929,"{""degradation"": 0.3318176087153265, ""nominal"": 0.37248996428004844, ""surge"": 0.3529382058178091}","{""degradation"": 0.5867086785104906, ""nominal"": 0.36545632981153153, ""surge"": 0.440643899557573}"
"[1, 0, 0, 0, 0, 1, 1, 1, 1, 0, 1, 0, 0, 1, 0, 1, 1, 0]",100001111010010110,"[""100001111010010110""]",2,0.00048828125,False,False,,,,6.047497161274413,0.21039176032892035,{},{}
"[1, 0, 0, 1, 0, 0, 0, 0, 1, 0, 0, 0, 0, 1, 0, 1, 1, 1]",100100001000010111,"[""100100001000010111""]",2,0.00048828125,False,False,,,,5.557217455718992,0.19271190676312014,{},{}
"[1, 0, 0, 1, 0, 0, 0, 1, 1, 1, 1, 1, 1, 0, 0, 0, 0, 1]",100100011111100001,"[""100100011111100001""]",2,0.00048828125,False,False,,,,5.9930159595718955,0.20842712737088645,{},{}
"[1, 0, 0, 1, 1, 0, 0, 0, 1, 0, 1, 1, 1, 0, 0, 0, 1, 0]",100110001011100010,"[""100110001011100010""]",2,0.00048828125,False,False,,,,2.7282444423726098,0.09069702005492297,{},{}
"[1, 0, 0, 1, 1, 1, 0, 1, 1, 1, 0, 0, 0, 1, 0, 1, 1, 0]",100111011100010110,"[""100111011100010110""]",2,0.00048828125,False,False,,,,7.372679006129303,0.25817881065879167,{},{}
"[1, 0, 0, 1, 1, 1, 1, 0, 1, 1, 0, 1, 0, 0, 0, 1, 1, 0]",100111101101000110,"[""100111101101000110""]",2,0.00048828125,False,False,,,,9.419336893172877,0.3319828276968376,{},{}
"[1, 0, 1, 0, 1, 0, 0, 1, 0, 1, 0, 0, 0, 1, 0, 1, 0, 1]",101010010100010101,"[""101010010100010101""]",2,0.00048828125,False,False,,,,2.7341827113479695,0.09091115848392393,{},{}
"[1, 0, 1, 0, 1, 0, 0, 1, 1, 1, 1, 1, 0, 0, 0, 0, 1, 0]",101010011111000010,"[""101010011111000010""]",2,0.00048828125,False,False,,,,8.012245599460346,0.2812420612635882,{},{}
"[1, 0, 1, 0, 1, 1, 0, 0, 1, 1, 1, 0, 1, 0, 0, 1, 0, 0]",101011001110100100,"[""101011001110100100""]",2,0.00048828125,False,False,,,,4.031336160869834,0.13768748387544427,{},{}
"[1, 1, 0, 0, 0, 0, 1, 1, 1, 1, 0, 0, 1, 0, 1, 1, 1, 1]",110000111100101111,"[""110000111100101111""]",2,0.00048828125,False,False,,,,12.603832680278963,0.4468181320322705,{},{}
"[1, 1, 0, 0, 0, 1, 1, 1, 0, 0, 0, 1, 0, 1, 1, 1, 1, 1]",110001110001011111,"[""110001110001011111""]",2,0.00048828125,False,False,,,,8.562190642195196,0.301073491597371,{},{}
"[1, 1, 0, 0, 0, 1, 1, 1, 1, 1, 0, 0, 1, 0, 0, 0, 0, 0]",110001111100100000,"[""110001111100100000""]",2,0.00048828125,False,False,,,,6.855343607524978,0.23952330852788523,{},{}
"[1, 1, 0, 0, 1, 1, 0, 1, 1, 0, 0, 0, 1, 1, 0, 1, 1, 0]",110011011000110110,"[""110011011000110110""]",2,0.00048828125,False,False,,,,7.4327147527606865,0.2603437446691723,{},{}
"[1, 1, 0, 1, 0, 1, 0, 1, 0, 0, 0, 0, 0, 1, 0, 1, 1, 1]",110101010000010111,"[""110101010000010111""]",2,0.00048828125,False,False,,,,8.155061219514813,0.28639209953941586,{},{}
"[1, 1, 0, 1, 1, 1, 1, 0, 0, 0, 1, 1, 1, 0, 1, 1, 0, 1]",110111100011101101,"[""110111100011101101""]",2,0.00048828125,False,False,,,,9.90332823286392,0.34943591807747915,{},{}
"[1, 1, 1, 1, 0, 0, 1, 0, 1, 0, 1, 0, 1, 0, 0, 1, 0, 0]",111100101010100100,"[""111100101010100100""]",2,0.00048828125,False,False,,,,6.1493885174316745,0.21406603898265414,{},{}
"[1, 1, 1, 1, 0, 1, 1, 0, 1, 0, 1, 0, 1, 0, 1, 0, 0, 0]",111101101010101000,"[""111101101010101000""]",2,0.00048828125,False,False,,,,9.383672514736729,0.3306967434858828,{},{}
"[1, 1, 1, 1, 0, 1, 1, 0, 1, 1, 1, 0, 0, 1, 1, 0, 0, 0]",111101101110011000,"[""111101101110011000""]",2,0.00048828125,False,False,,,,10.586971874319564,0.3740886200660992,{},{}
"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 1, 1, 0, 1, 1]",000000000001111011,"[""000000000001111011""]",1,0.000244140625,False,False,,,,8.219769760558535,0.2887255380177913,{},{}
"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 1, 1, 1, 1, 1, 1]",000000000010111111,"[""000000000010111111""]",1,0.000244140625,False,False,,,,11.395781668529594,0.4032549073143522,{},{}
"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 0, 1, 1, 0, 0, 0]",000000000011011000,"[""000000000011011000""]",1,0.000244140625,False,False,,,,5.829083752575684,0.2025156091465535,{},{}
"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 1, 1, 1, 0, 1, 0]",000000000011111010,"[""000000000011111010""]",1,0.000244140625,False,False,,,,8.194572329501877,0.2878168997725851,{},{}
"[0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 0, 1, 1, 1, 0, 1, 1]",000000000110111011,"[""000000000110111011""]",1,0.000244140625,False,False,,,,9.362967758530367,0.3299501144622944,{},{}
"[0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 1, 1, 0, 1, 1, 1, 1]",000000001001101111,"[""000000001001101111""]",1,0.000244140625,False,False,,,,7.490311707602459,0.26242073402014887,{},{}
"[0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 1, 1, 1, 0, 0, 1, 0]",000000001001110010,"[""000000001001110010""]",1,0.000244140625,False,False,,,,2.994681449126641,0.10030493816890029,{},{}
"[0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 1, 1, 1, 1, 0, 1, 0]",000000001001111010,"[""000000001001111010""]",1,0.000244140625,False,False,,,,6.21907081601483,0.21657883488490937,{},{}
"[0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 1, 0, 0, 0, 1, 1, 0, 1]",000000001010001101,"[""000000001010001101""]",1,0.000244140625,False,False,,,,3.074065439444196,0.10316758434490976,{},{}
"[0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 0, 1, 0, 0, 0, 1, 0, 0]",000000001101000100,"[""000000001101000100""]",1,0.000244140625,False,False,,,,3.820072105419689,0.13006914372847805,{},{}
"[0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 0, 1, 0, 0, 1, 1, 1, 1]",000000001101001111,"[""000000001101001111""]",1,0.000244140625,False,False,,,,7.488870554680121,0.26236876496586387,{},{}
"[0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 0, 1, 1, 0, 1, 1, 0, 1]",000000001101101101,"[""000000001101101101""]",1,0.000244140625,False,False,,,,5.516060459333559,0.19122775463310634,{},{}
"[0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 1, 0, 1, 0, 1, 0]",000000010000101010,"[""000000010000101010""]",1,0.000244140625,False,False,,,,3.7966662658019974,0.1292251116130622,{},{}
