D,optimizer_seed,method,control_random_seed,total_shots,one_hot_count,joint_feasible_count,near_optimal_count,exact_joint_optimum_count,p_one_hot,p_one_hot_wilson95_low,p_one_hot_wilson95_high,p_joint_feasible,p_joint_feasible_wilson95_low,p_joint_feasible_wilson95_high,p_near_optimal,p_near_optimal_wilson95_low,p_near_optimal_wilson95_high,p_exact_joint_optimum,p_feasible_given_onehot,p_feasible_given_onehot_wilson95_low,p_feasible_given_onehot_wilson95_high,p_near_optimal_given_onehot,p_near_optimal_given_onehot_wilson95_low,p_near_optimal_given_onehot_wilson95_high,best_feasible_objective_gap,best_feasible_relative_gap,best_feasible_worst_case_regret,best_feasible_regret_gap,near_optimal_absolute_gap_threshold,finite_shot_interval_method,synthesized_qubits,circuit_depth,gate_count,two_qubit_gate_count,execution_runtime_seconds,optimizer_trace_length,best_reported_optimizer_cost,execution_status,execution_warning,synthesis_warning
6,6106,qaoa,,4096,25,8,1,0,0.006103515625,0.004137683601119057,0.00899488734375388,0.001953125,0.0009900179449591885,0.003849549394408479,0.000244140625,4.309811523941186e-05,0.0013817030336260858,0,0.32,0.1720519030690799,0.5158973072689776,0.04,0.007096233501987251,0.19544063736193729,0.008357066806347346,0.032312240969329616,0.19882863268182072,0.01933365814823723,0.01,"Wilson score, 95%",18,138,294,160,16.973741699999664,10,0.2042041015625,PROCESSED,,
6,6106,uniform_random_bitstrings,106106,4096,11,3,0,0,0.002685546875,0.0015002563109177591,0.004802782252950838,0.000732421875,0.0002491200948151937,0.002151328537050924,0.0,0.0,0.0009369774073651879,0,0.2727272727272727,0.09746059290024894,0.5656453011761291,0.0,0.0,0.25883296696803165,0.01243314100512155,0.04807220732733758,0.2334551876707208,0.05396021313713731,0.01,"Wilson score, 95%",18,138,294,160,16.973741699999664,10,0.2042041015625,PROCESSED,,
6,6106,uniform_random_valid_routes,206106,4096,4096,1082,72,7,1.0,0.9990630225926348,0.9999999999999999,0.26416015625,0.25088379628759766,0.27787846942310296,0.017578125,0.013982290939508705,0.022077995855878798,0.001708984375,0.26416015625,0.25088379628759766,0.27787846942310296,0.017578125,0.013982290939508705,0.022077995855878798,0.0,0.0,0.17949497453358348,0.0,0.01,"Wilson score, 95%",18,138,294,160,16.973741699999664,10,0.2042041015625,PROCESSED,,
6,6201,qaoa,,4096,48,11,1,0,0.01171875,0.008850473817196051,0.015502043182184014,0.002685546875,0.0015002563109177591,0.004802782252950838,0.000244140625,4.309811523941186e-05,0.0013817030336260858,0,0.22916666666666666,0.13307826266911238,0.36539264090003454,0.020833333333333332,0.003687110977510656,0.10899217995251859,0.0021617293835068385,0.008358234099229733,0.18405504241622317,0.0045600678826396845,0.01,"Wilson score, 95%",18,138,294,160,17.617843299987726,10,0.1811390625,RAW_SAMPLE_SAVED,,
6,6201,uniform_random_bitstrings,106201,4096,8,4,0,0,0.001953125,0.0009900179449591885,0.003849549394408479,0.0009765625,0.000379829567061715,0.0025084428063047127,0.0,0.0,0.0009369774073651879,0,0.5,0.21521606221387762,0.7847839377861223,0.0,0.0,0.3244075648838801,0.05590584856483555,0.2161575696690362,0.4253232350353104,0.2458282605017269,0.01,"Wilson score, 95%",18,138,294,160,17.617843299987726,10,0.1811390625,RAW_SAMPLE_SAVED,,
6,6201,uniform_random_valid_routes,206201,4096,4096,1119,69,4,1.0,0.9990630225926348,0.9999999999999999,0.273193359375,0.259764383065649,0.28704736108056306,0.016845703125,0.01333317242769065,0.021263643143195926,0.0009765625,0.273193359375,0.259764383065649,0.28704736108056306,0.016845703125,0.01333317242769065,0.021263643143195926,0.0,0.0,0.17949497453358348,0.0,0.01,"Wilson score, 95%",18,138,294,160,17.617843299987726,10,0.1811390625,RAW_SAMPLE_SAVED,,
6,6202,qaoa,,4096,5,1,0,0,0.001220703125,0.0005215205909937575,0.00285457552387298,0.000244140625,4.309811523941186e-05,0.0013817030336260858,0.0,0.0,0.0009369774073651879,0,0.2,0.03622410863243014,0.6244653702374745,0.0,2.7755575615628914e-17,0.43448246478317465,0.048627212316421586,0.18801503427513236,0.3634906760559625,0.18399570152237904,0.01,"Wilson score, 95%",18,138,294,160,10.787270099972375,10,0.22617187500000002,RAW_SAMPLE_SAVED,,
6,6202,uniform_random_bitstrings,106202,4096,14,2,0,0,0.00341796875,0.0020371496844209867,0.00572936010394854,0.00048828125,0.00013391454481334652,0.0017787103455524612,0.0,0.0,0.0009369774073651879,0,0.14285714285714285,0.04009392127146494,0.3994137949697035,0.0,0.0,0.21531080273763575,0.13923019803446507,0.5383275990662377,0.7190304970673163,0.5395355225337328,0.01,"Wilson score, 95%",18,138,294,160,10.787270099972375,10,0.22617187500000002,RAW_SAMPLE_SAVED,,
6,6202,uniform_random_valid_routes,206202,4096,4096,1086,70,3,1.0,0.9990630225926348,0.9999999999999999,0.26513671875,0.25184351307144676,0.2788700476052551,0.01708984375,0.0135493413532538,0.021535297959133087,0.000732421875,0.26513671875,0.25184351307144676,0.2788700476052551,0.01708984375,0.0135493413532538,0.021535297959133087,0.0,0.0,0.17949497453358348,0.0,0.01,"Wilson score, 95%",18,138,294,160,10.787270099972375,10,0.22617187500000002,RAW_SAMPLE_SAVED,,
6,6203,qaoa,,4096,63,14,1,0,0.015380859375,0.012040724876904885,0.019629148244979834,0.00341796875,0.0020371496844209867,0.00572936010394854,0.000244140625,4.309811523941186e-05,0.0013817030336260858,0,0.2222222222222222,0.1372500775261365,0.3391228111343366,0.015873015873015872,0.002807494213869284,0.08458525459438393,0.0035156258400871887,0.013593016776725957,0.19555649401324163,0.016061519479658143,0.01,"Wilson score, 95%",18,138,294,160,21.34466279996559,10,0.15995292968750002,RAW_SAMPLE_SAVED,,
6,6203,uniform_random_bitstrings,106203,4096,8,1,0,0,0.001953125,0.0009900179449591885,0.003849549394408479,0.000244140625,4.309811523941186e-05,0.0013817030336260858,0.0,0.0,0.0009369774073651879,0,0.125,0.02241749145005667,0.47088818221285345,0.0,0.0,0.3244075648838801,0.0574767241123712,0.22223129271098288,0.47652420444654997,0.2970292299129665,0.01,"Wilson score, 95%",18,138,294,160,21.34466279996559,10,0.15995292968750002,RAW_SAMPLE_SAVED,,
6,6203,uniform_random_valid_routes,206203,4096,4096,1048,64,5,1.0,0.9990630225926348,0.9999999999999999,0.255859375,0.24272966845454566,0.26944659004514443,0.015625,0.012255565007829483,0.01990213185555554,0.001220703125,0.255859375,0.24272966845454566,0.26944659004514443,0.015625,0.012255565007829483,0.01990213185555554,0.0,0.0,0.17949497453358348,0.0,0.01,"Wilson score, 95%",18,138,294,160,21.34466279996559,10,0.15995292968750002,RAW_SAMPLE_SAVED,,
