routes,counts,probability,bitstring
"[0, 1, 0, 1, 0, 0, 0, 0, 0, 1, 0, 0]",7,0.001708984375,001000001010
"[1, 0, 0, 1, 0, 0, 1, 0, 0, 1, 0, 0]",7,0.001708984375,001001001001
"[1, 0, 0, 0, 0, 0, 0, 1, 0, 1, 0, 0]",7,0.001708984375,001010000001
"[0, 1, 0, 1, 0, 0, 0, 0, 0, 0, 1, 0]",7,0.001708984375,010000001010
"[1, 0, 0, 0, 1, 0, 1, 0, 0, 0, 0, 1]",7,0.001708984375,100001010001
"[0, 0, 1, 0, 1, 0, 1, 0, 0, 0, 0, 1]",7,0.001708984375,100001010100
"[0, 0, 1, 0, 0, 1, 0, 0, 1, 0, 0, 1]",7,0.001708984375,100100100100
"[1, 0, 0, 0, 1, 0, 0, 0, 1, 1, 0, 1]",7,0.001708984375,101100010001
"[1, 0, 0, 0, 1, 0, 1, 1, 0, 0, 0, 0]",6,0.00146484375,000011010001
"[0, 0, 1, 0, 0, 1, 0, 0, 1, 0, 0, 0]",6,0.00146484375,000100100100
"[1, 0, 0, 0, 0, 0, 1, 0, 1, 0, 0, 0]",6,0.00146484375,000101000001
"[1, 0, 0, 0, 1, 0, 0, 0, 0, 1, 0, 0]",6,0.00146484375,001000010001
"[0, 1, 0, 0, 1, 1, 1, 0, 0, 1, 0, 0]",6,0.00146484375,001001110010
"[0, 1, 1, 1, 0, 0, 0, 0, 1, 1, 0, 0]",6,0.00146484375,001100001110
"[1, 0, 0, 0, 1, 0, 0, 1, 0, 0, 1, 0]",6,0.00146484375,010010010001
"[0, 1, 0, 0, 0, 1, 0, 1, 0, 0, 1, 0]",6,0.00146484375,010010100010
"[1, 0, 1, 0, 1, 0, 0, 1, 0, 1, 1, 0]",6,0.00146484375,011010010101
"[1, 0, 0, 1, 1, 0, 1, 0, 0, 0, 0, 1]",6,0.00146484375,100001011001
"[0, 1, 0, 0, 0, 1, 1, 0, 0, 0, 0, 1]",6,0.00146484375,100001100010
"[0, 0, 1, 0, 0, 1, 0, 1, 0, 0, 0, 1]",6,0.00146484375,100010100100
"[1, 0, 1, 1, 0, 0, 1, 0, 1, 0, 0, 1]",6,0.00146484375,100101001101
"[0, 1, 0, 0, 0, 1, 1, 0, 0, 1, 0, 1]",6,0.00146484375,101001100010
"[0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0]",5,0.001220703125,000000010000
"[1, 0, 0, 0, 0, 1, 1, 0, 0, 0, 0, 0]",5,0.001220703125,000001100001
"[0, 0, 1, 0, 1, 0, 0, 1, 0, 0, 0, 0]",5,0.001220703125,000010010100
"[0, 0, 0, 0, 0, 1, 0, 1, 0, 0, 0, 0]",5,0.001220703125,000010100000
"[1, 0, 0, 1, 0, 0, 0, 0, 1, 0, 0, 0]",5,0.001220703125,000100001001
"[1, 0, 0, 1, 0, 0, 0, 1, 1, 0, 0, 0]",5,0.001220703125,000110001001
"[0, 1, 0, 0, 1, 0, 0, 0, 0, 1, 0, 0]",5,0.001220703125,001000010010
"[1, 1, 0, 0, 0, 1, 0, 0, 0, 1, 0, 0]",5,0.001220703125,001000100011
"[0, 0, 0, 1, 0, 0, 1, 0, 0, 1, 0, 0]",5,0.001220703125,001001001000
"[1, 0, 1, 1, 0, 0, 1, 0, 0, 1, 0, 0]",5,0.001220703125,001001001101
"[0, 1, 0, 1, 1, 0, 1, 0, 0, 1, 0, 0]",5,0.001220703125,001001011010
"[0, 0, 0, 1, 0, 1, 1, 0, 0, 1, 0, 0]",5,0.001220703125,001001101000
"[0, 0, 0, 0, 0, 0, 0, 1, 0, 1, 0, 0]",5,0.001220703125,001010000000
"[1, 0, 1, 1, 0, 0, 0, 1, 0, 1, 0, 0]",5,0.001220703125,001010001101
"[1, 0, 0, 0, 1, 0, 0, 1, 0, 1, 0, 0]",5,0.001220703125,001010010001
"[0, 1, 1, 0, 1, 1, 0, 1, 0, 1, 0, 0]",5,0.001220703125,001010110110
"[1, 0, 0, 0, 0, 0, 1, 1, 0, 1, 0, 0]",5,0.001220703125,001011000001
"[0, 0, 1, 1, 0, 0, 0, 0, 1, 1, 0, 0]",5,0.001220703125,001100001100
"[0, 0, 0, 1, 1, 0, 0, 0, 1, 1, 0, 0]",5,0.001220703125,001100011000
"[1, 0, 0, 0, 0, 1, 0, 0, 1, 1, 0, 0]",5,0.001220703125,001100100001
"[1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0]",5,0.001220703125,010000000001
"[1, 1, 0, 0, 0, 1, 0, 0, 0, 0, 1, 0]",5,0.001220703125,010000100011
"[1, 0, 0, 0, 1, 1, 0, 0, 0, 0, 1, 0]",5,0.001220703125,010000110001
"[0, 1, 0, 0, 0, 0, 1, 0, 0, 0, 1, 0]",5,0.001220703125,010001000010
"[0, 0, 1, 1, 0, 0, 1, 0, 0, 0, 1, 0]",5,0.001220703125,010001001100
"[0, 1, 0, 0, 1, 0, 1, 0, 0, 0, 1, 0]",5,0.001220703125,010001010010
"[1, 0, 0, 0, 0, 0, 0, 1, 0, 0, 1, 0]",5,0.001220703125,010010000001
"[0, 1, 0, 1, 0, 0, 0, 1, 0, 0, 1, 0]",5,0.001220703125,010010001010
"[1, 1, 0, 0, 0, 1, 0, 1, 0, 0, 1, 0]",5,0.001220703125,010010100011
"[0, 0, 1, 1, 0, 0, 0, 0, 1, 0, 1, 0]",5,0.001220703125,010100001100
"[1, 0, 0, 0, 0, 0, 1, 0, 1, 0, 1, 0]",5,0.001220703125,010101000001
"[1, 0, 1, 1, 1, 0, 0, 1, 1, 0, 1, 0]",5,0.001220703125,010110011101
"[1, 0, 1, 1, 0, 0, 0, 0, 0, 1, 1, 0]",5,0.001220703125,011000001101
"[1, 0, 0, 0, 1, 0, 0, 0, 0, 1, 1, 0]",5,0.001220703125,011000010001
"[1, 0, 0, 0, 0, 1, 1, 0, 0, 1, 1, 0]",5,0.001220703125,011001100001
"[0, 1, 0, 0, 1, 1, 1, 0, 0, 1, 1, 0]",5,0.001220703125,011001110010
"[0, 1, 1, 0, 1, 0, 0, 1, 0, 1, 1, 0]",5,0.001220703125,011010010110
"[0, 0, 1, 0, 0, 1, 0, 1, 0, 1, 1, 0]",5,0.001220703125,011010100100
"[1, 0, 1, 0, 1, 1, 0, 0, 0, 0, 0, 1]",5,0.001220703125,100000110101
"[1, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 1]",5,0.001220703125,100001000001
"[0, 1, 0, 0, 1, 0, 1, 0, 0, 0, 0, 1]",5,0.001220703125,100001010010
"[1, 0, 1, 0, 0, 1, 1, 0, 0, 0, 0, 1]",5,0.001220703125,100001100101
"[0, 0, 0, 0, 0, 1, 1, 1, 0, 0, 0, 1]",5,0.001220703125,100011100000
"[1, 0, 0, 1, 0, 0, 1, 0, 0, 1, 0, 1]",5,0.001220703125,101001001001
"[1, 0, 0, 0, 1, 0, 1, 0, 0, 1, 0, 1]",5,0.001220703125,101001010001
"[0, 1, 0, 1, 0, 0, 0, 0, 1, 1, 0, 1]",5,0.001220703125,101100001010
"[0, 1, 0, 0, 1, 0, 0, 0, 1, 0, 1, 1]",5,0.001220703125,110100010010
"[0, 0, 1, 0, 0, 1, 0, 0, 1, 0, 1, 1]",5,0.001220703125,110100100100
"[0, 0, 1, 0, 1, 0, 0, 0, 0, 0, 0, 0]",4,0.0009765625,000000010100
"[0, 1, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0]",4,0.0009765625,000001000010
"[0, 1, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0]",4,0.0009765625,000010000010
"[1, 0, 0, 0, 1, 0, 0, 1, 0, 0, 0, 0]",4,0.0009765625,000010010001
"[0, 1, 0, 0, 0, 1, 0, 1, 0, 0, 0, 0]",4,0.0009765625,000010100010
"[1, 1, 0, 0, 1, 0, 1, 1, 0, 0, 0, 0]",4,0.0009765625,000011010011
"[0, 0, 1, 0, 0, 1, 1, 1, 0, 0, 0, 0]",4,0.0009765625,000011100100
"[0, 0, 1, 1, 0, 0, 0, 0, 1, 0, 0, 0]",4,0.0009765625,000100001100
"[1, 0, 1, 1, 0, 0, 0, 0, 1, 0, 0, 0]",4,0.0009765625,000100001101
"[1, 0, 0, 0, 1, 0, 0, 0, 1, 0, 0, 0]",4,0.0009765625,000100010001
"[1, 1, 0, 0, 1, 0, 0, 0, 1, 0, 0, 0]",4,0.0009765625,000100010011
"[1, 0, 0, 1, 0, 1, 0, 0, 1, 0, 0, 0]",4,0.0009765625,000100101001
"[0, 1, 0, 0, 1, 0, 0, 1, 1, 0, 0, 0]",4,0.0009765625,000110010010
"[0, 0, 0, 1, 0, 1, 0, 1, 1, 0, 0, 0]",4,0.0009765625,000110101000
"[0, 0, 1, 1, 0, 1, 0, 1, 1, 0, 0, 0]",4,0.0009765625,000110101100
"[0, 1, 0, 0, 0, 1, 0, 0, 0, 1, 0, 0]",4,0.0009765625,001000100010
"[0, 1, 1, 0, 0, 1, 0, 0, 0, 1, 0, 0]",4,0.0009765625,001000100110
"[0, 1, 1, 1, 0, 1, 0, 0, 0, 1, 0, 0]",4,0.0009765625,001000101110
"[0, 1, 0, 0, 1, 1, 0, 0, 0, 1, 0, 0]",4,0.0009765625,001000110010
"[0, 1, 0, 0, 0, 0, 1, 0, 0, 1, 0, 0]",4,0.0009765625,001001000010
"[0, 0, 1, 1, 0, 0, 1, 0, 0, 1, 0, 0]",4,0.0009765625,001001001100
"[0, 0, 1, 0, 0, 1, 1, 0, 0, 1, 0, 0]",4,0.0009765625,001001100100
"[0, 1, 1, 0, 0, 1, 1, 0, 0, 1, 0, 0]",4,0.0009765625,001001100110
"[0, 0, 1, 1, 0, 1, 1, 0, 0, 1, 0, 0]",4,0.0009765625,001001101100
