routes,canonical_bitstring,provider_bitstrings,counts,probability,one_hot,joint_feasible,assignment,current_objective,base_energy,transformed_energy,scenario_costs,scenario_regrets
"[0, 0, 1, 0, 1, 1, 1, 0, 0, 1, 1, 0]",001011100110,"[""011001110100""]",7,0.001708984375,False,False,,,2.9848869822342508,0.13972913297315165,{},{}
"[0, 0, 1, 1, 0, 0, 1, 0, 0, 1, 1, 0]",001100100110,"[""011001001100""]",7,0.001708984375,False,False,,,1.6620196077037077,0.072537836227635,{},{}
"[0, 1, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1]",010001000001,"[""100000100010""]",7,0.001708984375,False,False,,,1.0849958474484156,0.04322955071769402,{},{}
"[1, 0, 0, 1, 0, 0, 0, 0, 0, 1, 0, 0]",100100000100,"[""001000001001""]",7,0.001708984375,False,False,,,1.1195792560013622,0.044986116879420626,{},{}
"[0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 1, 1]",000100000011,"[""110000001000""]",6,0.00146484375,False,False,,,2.9096709209909437,0.13590874644890047,{},{}
"[0, 0, 0, 1, 0, 0, 0, 1, 0, 1, 1, 0]",000100010110,"[""011010001000""]",6,0.00146484375,False,False,,,2.2162248502276567,0.10068711984086384,{},{}
"[0, 0, 1, 0, 0, 1, 0, 0, 1, 0, 0, 1]",001001001001,"[""100100100100""]",6,0.00146484375,True,True,"[2, 2, 2, 2]",0.5954977803206528,0.5954977803206531,0.018366884574453266,"{""degradation"": 0.41385681293302545, ""nominal"": 0.6845714285714287, ""surge"": 0.6880650994575044}","{""degradation"": 1.0, ""nominal"": 1.0, ""surge"": 1.0}"
"[0, 0, 1, 0, 1, 0, 1, 0, 0, 1, 0, 1]",001010100101,"[""101001010100""]",6,0.00146484375,False,False,,,1.6843252450191675,0.07367078781810929,{},{}
"[0, 0, 1, 1, 0, 0, 0, 0, 1, 0, 0, 0]",001100001000,"[""000100001100""]",6,0.00146484375,False,False,,,1.0424891375052163,0.04107054293168473,{},{}
"[0, 1, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0]",010000001000,"[""000100000010""]",6,0.00146484375,False,False,,,1.7079532815184293,0.07487090692490879,{},{}
"[0, 1, 0, 0, 0, 0, 1, 0, 0, 0, 0, 1]",010000100001,"[""100001000010""]",6,0.00146484375,False,False,,,0.9161574074774299,0.034653880971385165,{},{}
"[0, 1, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0]",010100000000,"[""000000001010""]",6,0.00146484375,False,False,,,1.6487616492955168,0.07186443582877748,{},{}
"[0, 1, 0, 1, 0, 0, 1, 0, 0, 0, 0, 1]",010100100001,"[""100001001010""]",6,0.00146484375,True,False,"[1, 0, 0, 2]",0.24440051730626766,0.24440051730626755,0.0005338947827818896,"{""degradation"": 0.2740855751825729, ""nominal"": 0.23825482625482636, ""surge"": 0.2208611504814037}","{""degradation"": 0.36397784562948254, ""nominal"": 0.015969763007355118, ""surge"": 0.005286017235745985}"
"[0, 1, 1, 0, 0, 1, 0, 1, 0, 0, 0, 0]",011001010000,"[""000010100110""]",6,0.00146484375,False,False,,,2.5093795987853347,0.11557708393094236,{},{}
"[1, 0, 0, 0, 0, 0, 0, 1, 0, 0, 1, 0]",100000010010,"[""010010000001""]",6,0.00146484375,False,False,,,0.907952889477227,0.03423715574690738,{},{}
"[1, 0, 0, 0, 1, 0, 0, 0, 1, 0, 0, 0]",100010001000,"[""000100010001""]",6,0.00146484375,False,False,,,0.975608558447568,0.03767353358630785,{},{}
"[1, 0, 0, 0, 1, 0, 1, 1, 0, 1, 0, 0]",100010110100,"[""001011010001""]",6,0.00146484375,False,False,,,1.6326321733240494,0.07104518483868245,{},{}
"[1, 0, 0, 1, 0, 1, 0, 0, 0, 1, 0, 0]",100101000100,"[""001000101001""]",6,0.00146484375,False,False,,,2.5328468509478537,0.11676903645332826,{},{}
"[1, 1, 0, 0, 1, 0, 1, 0, 0, 0, 0, 1]",110010100001,"[""100001010011""]",6,0.00146484375,False,False,,,1.6716080146314893,0.07302485216559323,{},{}
"[0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0]",000000010000,"[""000010000000""]",5,0.001220703125,False,False,,,2.3546487368014835,0.10771796860055179,{},{}
"[0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1]",000001000001,"[""100000100000""]",5,0.001220703125,False,False,,,1.7721135634254002,0.07812974649105742,{},{}
"[0, 0, 0, 0, 0, 1, 0, 0, 1, 0, 1, 0]",000001001010,"[""010100100000""]",5,0.001220703125,False,False,,,1.1288055964746995,0.04545474267861624,{},{}
"[0, 0, 0, 0, 0, 1, 1, 1, 0, 1, 0, 1]",000001110101,"[""101011100000""]",5,0.001220703125,False,False,,,3.569715437344724,0.16943383582478477,{},{}
"[0, 0, 0, 0, 1, 0, 1, 0, 1, 0, 0, 1]",000010101001,"[""100101010000""]",5,0.001220703125,False,False,,,2.2608392376356248,0.10295318112649501,{},{}
"[0, 0, 0, 1, 0, 0, 0, 0, 0, 1, 0, 0]",000100000100,"[""001000001000""]",5,0.001220703125,False,False,,,1.6701236792171397,0.07294945955767528,{},{}
"[0, 0, 0, 1, 0, 0, 0, 0, 1, 0, 0, 0]",000100001000,"[""000100001000""]",5,0.001220703125,False,False,,,1.6676087337373917,0.07282172003421132,{},{}
"[0, 0, 0, 1, 0, 1, 1, 0, 0, 0, 0, 1]",000101100001,"[""100001101000""]",5,0.001220703125,False,False,,,2.349668287542582,0.10746500080459297,{},{}
"[0, 0, 1, 0, 0, 1, 0, 0, 0, 1, 1, 0]",001001000110,"[""011000100100""]",5,0.001220703125,False,False,,,2.296356369215375,0.10475717310140592,{},{}
"[0, 0, 1, 0, 1, 0, 0, 0, 1, 0, 1, 0]",001010001010,"[""010100010100""]",5,0.001220703125,True,True,"[2, 1, 2, 1]",0.39373158692146026,0.3937315869214607,0.00811874297317634,"{""degradation"": 0.29729729729729737, ""nominal"": 0.4447258687258688, ""surge"": 0.43917159474121487}","{""degradation"": 0.46960164737626947, ""nominal"": 0.4711931353854535, ""surge"": 0.4700861371076327}"
"[0, 0, 1, 0, 1, 0, 1, 0, 0, 0, 1, 0]",001010100010,"[""010001010100""]",5,0.001220703125,True,True,"[2, 1, 0, 1]",0.2756439907326276,0.2756439907326279,0.0021208184115366125,"{""degradation"": 0.21880812683353107, ""nominal"": 0.28690347490347495, ""surge"": 0.32122037046087676}","{""degradation"": 0.11244053113683199, ""nominal"": 0.12322936529555982, ""surge"": 0.21895869622674094}"
