routes,counts,probability,bitstring
"[1, 0, 0, 1, 0, 0, 0, 0, 0, 1, 0, 0]",7,0.001708984375,001000001001
"[0, 0, 1, 1, 0, 0, 1, 0, 0, 1, 1, 0]",7,0.001708984375,011001001100
"[0, 0, 1, 0, 1, 1, 1, 0, 0, 1, 1, 0]",7,0.001708984375,011001110100
"[0, 1, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1]",7,0.001708984375,100000100010
"[0, 1, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0]",6,0.00146484375,000000001010
"[0, 1, 1, 0, 0, 1, 0, 1, 0, 0, 0, 0]",6,0.00146484375,000010100110
"[0, 1, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0]",6,0.00146484375,000100000010
"[0, 0, 1, 1, 0, 0, 0, 0, 1, 0, 0, 0]",6,0.00146484375,000100001100
"[1, 0, 0, 0, 1, 0, 0, 0, 1, 0, 0, 0]",6,0.00146484375,000100010001
"[1, 0, 0, 1, 0, 1, 0, 0, 0, 1, 0, 0]",6,0.00146484375,001000101001
"[1, 0, 0, 0, 1, 0, 1, 1, 0, 1, 0, 0]",6,0.00146484375,001011010001
"[1, 0, 0, 0, 0, 0, 0, 1, 0, 0, 1, 0]",6,0.00146484375,010010000001
"[0, 0, 0, 1, 0, 0, 0, 1, 0, 1, 1, 0]",6,0.00146484375,011010001000
"[0, 1, 0, 0, 0, 0, 1, 0, 0, 0, 0, 1]",6,0.00146484375,100001000010
"[0, 1, 0, 1, 0, 0, 1, 0, 0, 0, 0, 1]",6,0.00146484375,100001001010
"[1, 1, 0, 0, 1, 0, 1, 0, 0, 0, 0, 1]",6,0.00146484375,100001010011
"[0, 0, 1, 0, 0, 1, 0, 0, 1, 0, 0, 1]",6,0.00146484375,100100100100
"[0, 0, 1, 0, 1, 0, 1, 0, 0, 1, 0, 1]",6,0.00146484375,101001010100
"[0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 1, 1]",6,0.00146484375,110000001000
"[0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",5,0.001220703125,000000000010
"[0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0]",5,0.001220703125,000010000000
"[1, 0, 1, 0, 0, 0, 0, 0, 1, 0, 0, 0]",5,0.001220703125,000100000101
"[0, 0, 0, 1, 0, 0, 0, 0, 1, 0, 0, 0]",5,0.001220703125,000100001000
"[0, 1, 0, 0, 0, 0, 1, 0, 1, 0, 0, 0]",5,0.001220703125,000101000010
"[0, 1, 0, 1, 0, 0, 1, 0, 1, 0, 0, 0]",5,0.001220703125,000101001010
"[1, 0, 0, 0, 0, 1, 1, 0, 1, 0, 0, 0]",5,0.001220703125,000101100001
"[1, 0, 0, 0, 1, 0, 0, 1, 1, 0, 0, 0]",5,0.001220703125,000110010001
"[0, 0, 0, 1, 0, 0, 0, 0, 0, 1, 0, 0]",5,0.001220703125,001000001000
"[1, 0, 1, 1, 0, 0, 0, 0, 0, 1, 0, 0]",5,0.001220703125,001000001101
"[1, 1, 0, 0, 0, 0, 1, 0, 0, 1, 0, 0]",5,0.001220703125,001001000011
"[1, 0, 0, 0, 1, 0, 1, 0, 0, 1, 0, 0]",5,0.001220703125,001001010001
"[1, 0, 0, 0, 0, 1, 1, 0, 0, 1, 0, 0]",5,0.001220703125,001001100001
"[0, 1, 0, 0, 0, 1, 1, 0, 0, 1, 0, 0]",5,0.001220703125,001001100010
"[1, 0, 0, 0, 1, 0, 0, 1, 0, 1, 0, 0]",5,0.001220703125,001010010001
"[1, 0, 0, 1, 0, 0, 0, 0, 1, 1, 0, 0]",5,0.001220703125,001100001001
"[0, 0, 1, 0, 1, 1, 0, 0, 1, 1, 0, 0]",5,0.001220703125,001100110100
"[0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0]",5,0.001220703125,010000000010
"[0, 0, 1, 0, 1, 0, 1, 0, 0, 0, 1, 0]",5,0.001220703125,010001010100
"[1, 0, 1, 0, 0, 1, 1, 0, 0, 0, 1, 0]",5,0.001220703125,010001100101
"[1, 0, 0, 1, 0, 1, 1, 0, 0, 0, 1, 0]",5,0.001220703125,010001101001
"[0, 1, 0, 0, 0, 0, 0, 1, 0, 0, 1, 0]",5,0.001220703125,010010000010
"[0, 0, 1, 0, 1, 0, 0, 0, 1, 0, 1, 0]",5,0.001220703125,010100010100
"[0, 0, 0, 0, 0, 1, 0, 0, 1, 0, 1, 0]",5,0.001220703125,010100100000
"[0, 1, 0, 0, 0, 0, 0, 1, 1, 0, 1, 0]",5,0.001220703125,010110000010
"[0, 1, 0, 0, 0, 0, 0, 0, 0, 1, 1, 0]",5,0.001220703125,011000000010
"[0, 0, 1, 0, 0, 1, 0, 0, 0, 1, 1, 0]",5,0.001220703125,011000100100
"[0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1]",5,0.001220703125,100000100000
"[1, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1]",5,0.001220703125,100000100001
"[0, 1, 1, 0, 0, 0, 1, 0, 0, 0, 0, 1]",5,0.001220703125,100001000110
"[1, 1, 0, 1, 0, 0, 1, 0, 0, 0, 0, 1]",5,0.001220703125,100001001011
"[0, 0, 0, 1, 0, 1, 1, 0, 0, 0, 0, 1]",5,0.001220703125,100001101000
"[1, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 1]",5,0.001220703125,100010000001
"[0, 0, 0, 0, 1, 0, 1, 0, 1, 0, 0, 1]",5,0.001220703125,100101010000
"[0, 1, 0, 1, 0, 0, 0, 0, 0, 1, 0, 1]",5,0.001220703125,101000001010
