routes,counts,probability,bitstring
"[0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1]",7,0.001708984375,100000100000
"[1, 1, 0, 0, 1, 1, 1, 1, 1, 1, 1, 0]",6,0.00146484375,011111110011
"[0, 1, 1, 1, 1, 1, 0, 0, 1, 1, 0, 1]",6,0.00146484375,101100111110
"[1, 1, 1, 1, 0, 1, 0, 1, 0, 0, 0, 0]",5,0.001220703125,000010101111
"[1, 1, 0, 1, 1, 0, 0, 0, 1, 0, 0, 0]",5,0.001220703125,000100011011
"[1, 1, 0, 0, 1, 0, 0, 0, 0, 1, 0, 0]",5,0.001220703125,001000010011
"[1, 1, 1, 0, 0, 1, 1, 0, 1, 1, 0, 0]",5,0.001220703125,001101100111
"[1, 1, 0, 1, 1, 1, 0, 0, 1, 1, 1, 0]",5,0.001220703125,011100111011
"[0, 1, 0, 1, 0, 0, 0, 1, 1, 0, 0, 1]",5,0.001220703125,100110001010
"[0, 0, 0, 0, 1, 0, 1, 0, 1, 1, 0, 1]",5,0.001220703125,101101010000
"[1, 0, 1, 1, 1, 0, 1, 0, 1, 0, 1, 1]",5,0.001220703125,110101011101
"[0, 1, 0, 1, 0, 0, 0, 1, 1, 0, 1, 1]",5,0.001220703125,110110001010
"[1, 0, 1, 0, 0, 1, 1, 0, 0, 1, 1, 1]",5,0.001220703125,111001100101
"[0, 0, 0, 0, 0, 1, 1, 1, 1, 1, 1, 1]",5,0.001220703125,111111100000
"[0, 1, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0]",4,0.0009765625,000000000110
"[1, 1, 1, 0, 1, 0, 0, 0, 0, 0, 0, 0]",4,0.0009765625,000000010111
"[0, 1, 0, 0, 0, 1, 1, 0, 0, 0, 0, 0]",4,0.0009765625,000001100010
"[1, 0, 1, 0, 0, 0, 0, 1, 0, 0, 0, 0]",4,0.0009765625,000010000101
"[1, 0, 0, 1, 0, 0, 0, 0, 1, 0, 0, 0]",4,0.0009765625,000100001001
"[1, 1, 1, 1, 1, 0, 0, 1, 1, 0, 0, 0]",4,0.0009765625,000110011111
"[1, 1, 0, 0, 0, 1, 0, 1, 1, 0, 0, 0]",4,0.0009765625,000110100011
"[1, 1, 0, 1, 0, 1, 1, 1, 1, 0, 0, 0]",4,0.0009765625,000111101011
"[1, 1, 1, 1, 0, 0, 0, 0, 0, 1, 0, 0]",4,0.0009765625,001000001111
"[1, 0, 0, 1, 0, 1, 0, 0, 0, 1, 0, 0]",4,0.0009765625,001000101001
"[1, 0, 1, 0, 0, 0, 1, 0, 0, 1, 0, 0]",4,0.0009765625,001001000101
"[0, 0, 0, 0, 0, 0, 0, 1, 0, 1, 0, 0]",4,0.0009765625,001010000000
"[0, 1, 1, 0, 0, 0, 1, 1, 0, 1, 0, 0]",4,0.0009765625,001011000110
"[0, 1, 1, 1, 1, 0, 1, 1, 0, 1, 0, 0]",4,0.0009765625,001011011110
"[1, 0, 0, 0, 0, 1, 1, 1, 0, 1, 0, 0]",4,0.0009765625,001011100001
"[0, 0, 0, 0, 1, 1, 1, 1, 0, 1, 0, 0]",4,0.0009765625,001011110000
"[0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 0, 0]",4,0.0009765625,001100000000
"[1, 1, 1, 1, 1, 1, 1, 0, 1, 1, 0, 0]",4,0.0009765625,001101111111
"[0, 1, 0, 1, 1, 0, 1, 1, 1, 1, 0, 0]",4,0.0009765625,001111011010
"[0, 0, 1, 1, 0, 1, 1, 1, 1, 1, 0, 0]",4,0.0009765625,001111101100
"[0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 1, 0]",4,0.0009765625,010000100000
"[1, 0, 1, 0, 0, 1, 1, 0, 0, 0, 1, 0]",4,0.0009765625,010001100101
"[1, 0, 1, 0, 0, 0, 0, 1, 0, 0, 1, 0]",4,0.0009765625,010010000101
"[0, 1, 0, 1, 1, 1, 0, 1, 0, 0, 1, 0]",4,0.0009765625,010010111010
"[1, 0, 1, 1, 0, 0, 1, 1, 0, 0, 1, 0]",4,0.0009765625,010011001101
"[0, 1, 0, 0, 0, 1, 1, 1, 0, 0, 1, 0]",4,0.0009765625,010011100010
"[0, 1, 0, 1, 1, 1, 1, 1, 0, 0, 1, 0]",4,0.0009765625,010011111010
"[1, 1, 1, 1, 0, 0, 0, 0, 0, 1, 1, 0]",4,0.0009765625,011000001111
"[0, 1, 0, 1, 0, 0, 1, 1, 0, 1, 1, 0]",4,0.0009765625,011011001010
"[0, 1, 0, 1, 0, 1, 1, 1, 0, 1, 1, 0]",4,0.0009765625,011011101010
"[0, 0, 1, 0, 0, 0, 0, 0, 1, 1, 1, 0]",4,0.0009765625,011100000100
"[1, 0, 1, 0, 0, 0, 0, 1, 1, 1, 1, 0]",4,0.0009765625,011110000101
"[0, 1, 1, 1, 1, 0, 0, 1, 1, 1, 1, 0]",4,0.0009765625,011110011110
"[1, 0, 1, 1, 0, 1, 0, 1, 1, 1, 1, 0]",4,0.0009765625,011110101101
"[1, 1, 1, 0, 1, 1, 1, 1, 1, 1, 1, 0]",4,0.0009765625,011111110111
"[0, 1, 0, 0, 1, 0, 0, 0, 0, 0, 0, 1]",4,0.0009765625,100000010010
"[1, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1]",4,0.0009765625,100000100001
"[1, 1, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1]",4,0.0009765625,100000100011
"[1, 0, 0, 0, 1, 1, 0, 0, 0, 0, 0, 1]",4,0.0009765625,100000110001
"[0, 0, 1, 0, 0, 0, 1, 0, 0, 0, 0, 1]",4,0.0009765625,100001000100
"[1, 0, 1, 1, 1, 1, 1, 0, 0, 0, 0, 1]",4,0.0009765625,100001111101
"[1, 0, 0, 0, 0, 0, 1, 1, 0, 0, 0, 1]",4,0.0009765625,100011000001
"[0, 0, 0, 1, 0, 1, 0, 0, 1, 0, 0, 1]",4,0.0009765625,100100101000
"[0, 1, 1, 0, 0, 1, 1, 0, 1, 0, 0, 1]",4,0.0009765625,100101100110
"[0, 1, 0, 1, 1, 1, 1, 0, 1, 0, 0, 1]",4,0.0009765625,100101111010
"[1, 1, 0, 0, 0, 0, 0, 1, 1, 0, 0, 1]",4,0.0009765625,100110000011
"[1, 0, 1, 1, 1, 1, 0, 1, 1, 0, 0, 1]",4,0.0009765625,100110111101
"[0, 1, 1, 0, 0, 0, 1, 1, 1, 0, 0, 1]",4,0.0009765625,100111000110
"[1, 0, 0, 1, 1, 0, 1, 1, 1, 0, 0, 1]",4,0.0009765625,100111011001
"[0, 0, 1, 1, 1, 1, 1, 1, 1, 0, 0, 1]",4,0.0009765625,100111111100
"[1, 1, 1, 0, 0, 0, 0, 1, 0, 1, 0, 1]",4,0.0009765625,101010000111
"[1, 0, 1, 1, 1, 0, 0, 1, 0, 1, 0, 1]",4,0.0009765625,101010011101
"[0, 0, 0, 1, 0, 0, 0, 0, 1, 1, 0, 1]",4,0.0009765625,101100001000
"[0, 0, 0, 1, 0, 1, 0, 0, 1, 1, 0, 1]",4,0.0009765625,101100101000
"[0, 0, 1, 0, 1, 1, 0, 0, 1, 1, 0, 1]",4,0.0009765625,101100110100
"[0, 1, 1, 0, 0, 0, 1, 0, 1, 1, 0, 1]",4,0.0009765625,101101000110
"[0, 1, 0, 0, 0, 1, 0, 1, 1, 1, 0, 1]",4,0.0009765625,101110100010
"[1, 0, 0, 1, 1, 1, 1, 1, 1, 1, 0, 1]",4,0.0009765625,101111111001
"[0, 0, 0, 0, 1, 1, 0, 0, 0, 0, 1, 1]",4,0.0009765625,110000110000
"[0, 0, 1, 0, 1, 1, 0, 0, 0, 0, 1, 1]",4,0.0009765625,110000110100
"[0, 0, 0, 1, 0, 0, 1, 0, 0, 0, 1, 1]",4,0.0009765625,110001001000
"[1, 0, 0, 1, 1, 1, 0, 1, 0, 0, 1, 1]",4,0.0009765625,110010111001
"[1, 0, 0, 0, 1, 0, 1, 1, 0, 0, 1, 1]",4,0.0009765625,110011010001
"[0, 1, 1, 1, 0, 1, 1, 1, 0, 0, 1, 1]",4,0.0009765625,110011101110
"[1, 0, 1, 0, 1, 1, 1, 1, 0, 0, 1, 1]",4,0.0009765625,110011110101
"[0, 1, 0, 1, 1, 1, 0, 0, 1, 0, 1, 1]",4,0.0009765625,110100111010
"[0, 1, 1, 1, 0, 1, 1, 0, 1, 0, 1, 1]",4,0.0009765625,110101101110
"[1, 0, 0, 1, 1, 0, 0, 1, 1, 0, 1, 1]",4,0.0009765625,110110011001
"[1, 0, 1, 1, 1, 1, 0, 1, 0, 1, 1, 1]",4,0.0009765625,111010111101
"[1, 0, 0, 0, 0, 0, 1, 0, 1, 1, 1, 1]",4,0.0009765625,111101000001
"[0, 0, 1, 1, 0, 0, 1, 0, 1, 1, 1, 1]",4,0.0009765625,111101001100
"[1, 0, 1, 0, 1, 0, 1, 1, 1, 1, 1, 1]",4,0.0009765625,111111010101
"[0, 1, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0]",3,0.000732421875,000000001010
"[0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0]",3,0.000732421875,000000100000
