routes,canonical_bitstring,provider_bitstrings,counts,probability,one_hot,joint_feasible,assignment,weighted_cost,worst_case_regret,base_energy,transformed_energy,scenario_costs,scenario_regrets
"[1, 0, 0, 1, 0, 0, 1, 0, 0, 1, 0, 0]",100100100100,"[""1001001001""]",88,0.021484375,True,False,"[0, 0, 0, 0]",0.6,1.847035432791308,0.5999999999999999,0.01859556205513862,"{""degradation"": 0.6, ""nominal"": 0.6, ""surge"": 0.6}","{""degradation"": 1.847035432791308, ""nominal"": 0.8135385453554886, ""surge"": 0.8125024713171134}"
"[1, 0, 0, 1, 0, 0, 0, 0, 1, 1, 0, 0]",100100001100,"[""1100001001""]",82,0.02001953125,True,False,"[0, 0, 2, 0]",0.44642616515341393,1.1117730597173898,0.44642616515341393,0.010795214636951024,"{""degradation"": 0.43841988639910123, ""nominal"": 0.4389652509652511, ""surge"": 0.46189335809588966}","{""degradation"": 1.1117730597173898, ""nominal"": 0.45849223644783443, ""surge"": 0.5184625598058741}"
"[0, 1, 0, 1, 0, 0, 1, 0, 0, 1, 0, 0]",010100100100,"[""1001001010""]",81,0.019775390625,True,False,"[1, 0, 0, 0]",0.3346867333821466,0.8183483632748703,0.3346867333821467,0.005119727084026059,"{""degradation"": 0.37393733225142, ""nominal"": 0.32979150579150585, ""surge"": 0.3003313621035141}","{""degradation"": 0.8183483632748703, ""nominal"": 0.21778806864614547, ""surge"": 0.1744843531808714}"
"[1, 0, 0, 1, 0, 0, 1, 0, 0, 0, 0, 1]",100100100001,"[""100001001001""]",81,0.019775390625,True,False,"[0, 0, 0, 2]",0.4280360571430527,1.0379819640701553,0.42803605714305293,0.009861141253408116,"{""degradation"": 0.42220367018288496, ""nominal"": 0.42274903474903486, ""surge"": 0.4391554664972385}","{""degradation"": 1.0379819640701553, ""nominal"": 0.4227390356850995, ""surge"": 0.47005179880669185}"
"[0, 0, 1, 1, 0, 0, 1, 0, 0, 1, 0, 0]",001100100100,"[""1001001100""]",79,0.019287109375,True,False,"[2, 0, 0, 0]",0.422657206321164,1.0379819640701553,0.4226572063211638,0.0095879377798916,"{""degradation"": 0.42220367018288496, ""nominal"": 0.42274903474903486, ""surge"": 0.42301891403157227}","{""degradation"": 1.0379819640701553, ""nominal"": 0.4227390356850995, ""surge"": 0.43569580843806527}"
"[0, 1, 0, 0, 0, 1, 1, 0, 0, 1, 0, 0]",010001100100,"[""1001100010""]",75,0.018310546875,True,False,"[1, 2, 0, 0]",0.31694359783736226,0.46614357736277806,0.31694359783736215,0.004218514832111066,"{""degradation"": 0.2965373572186506, ""nominal"": 0.3161853281853282, ""surge"": 0.3381081081081081}","{""degradation"": 0.46614357736277806, ""nominal"": 0.1877894306728411, ""surge"": 0.2549140189755532}"
"[0, 1, 0, 0, 1, 0, 1, 0, 0, 1, 0, 0]",010010100100,"[""1001010010""]",75,0.018310546875,True,False,"[1, 1, 0, 0]",0.2887037124533543,0.24333576823103625,0.2887037124533547,0.0027841499400374403,"{""degradation"": 0.24071531115411027, ""nominal"": 0.2927258687258687, ""surge"": 0.332669957480084}","{""degradation"": 0.21212809770645472, ""nominal"": 0.13606646690275115, ""surge"": 0.24333576823103625}"
"[1, 0, 0, 1, 0, 0, 1, 0, 0, 0, 1, 0]",100100100010,"[""10001001001""]",75,0.018310546875,True,False,"[0, 0, 0, 1]",0.358941657383906,0.8183483632748703,0.35894165738390627,0.00635168716371321,"{""degradation"": 0.37393733225142, ""nominal"": 0.32979150579150585, ""surge"": 0.37309613410879217}","{""degradation"": 0.8183483632748703, ""nominal"": 0.21778806864614547, ""surge"": 0.3294062803711863}"
"[1, 0, 0, 0, 0, 1, 1, 0, 0, 0, 1, 0]",100001100010,"[""10001100001""]",71,0.017333984375,True,False,"[0, 2, 0, 1]",0.27569142847059647,0.4377689412767168,0.27569142847059647,0.0021232278769071776,"{""degradation"": 0.29030179139878914, ""nominal"": 0.2544710424710425, ""surge"": 0.2823014515419578}","{""degradation"": 0.4377689412767168, ""nominal"": 0.05172296377008994, ""surge"": 0.13609725439270093}"
"[1, 0, 0, 0, 1, 0, 1, 0, 0, 1, 0, 0]",100010100100,"[""1001010001""]",71,0.017333984375,True,False,"[0, 1, 0, 0]",0.3346867333821466,0.8183483632748703,0.3346867333821467,0.005119727084026059,"{""degradation"": 0.37393733225142, ""nominal"": 0.32979150579150585, ""surge"": 0.3003313621035141}","{""degradation"": 0.8183483632748703, ""nominal"": 0.21778806864614547, ""surge"": 0.1744843531808714}"
"[0, 1, 0, 1, 0, 0, 0, 0, 1, 1, 0, 0]",010100001100,"[""1100001010""]",66,0.01611328125,True,False,"[1, 0, 2, 0]",0.2627906253166288,0.4377689412767168,0.262790625316629,0.0014679681663248212,"{""degradation"": 0.29030179139878914, ""nominal"": 0.2544710424710425, ""surge"": 0.24359904208005473}","{""degradation"": 0.4377689412767168, ""nominal"": 0.05172296377008994, ""surge"": 0.053696778234927994}"
"[0, 1, 0, 1, 0, 0, 1, 0, 0, 0, 1, 0]",010100100010,"[""10001001010""]",66,0.01611328125,True,False,"[1, 0, 0, 1]",0.23388915610648003,0.18375346162039355,0.23388915610648003,0.0,"{""degradation"": 0.23447974533424884, ""nominal"": 0.23101158301158303, ""surge"": 0.2361761399736083}","{""degradation"": 0.18375346162039355, ""nominal"": 0.0, ""surge"": 0.0378928353655363}"
"[0, 0, 1, 0, 0, 1, 1, 0, 0, 1, 0, 0]",001001100100,"[""1001100100""]",65,0.015869140625,True,False,"[2, 2, 0, 0]",0.3529693643879629,0.6574025420720016,0.352969364387963,0.00604834147791912,"{""degradation"": 0.33856812933025404, ""nominal"": 0.3474285714285714, ""surge"": 0.37291139240506327}","{""degradation"": 0.6574025420720016, ""nominal"": 0.2566739308090437, ""surge"": 0.3290129507422276}"
"[0, 0, 1, 1, 0, 0, 1, 0, 0, 0, 0, 1]",001100100001,"[""100001001100""]",65,0.015869140625,True,False,"[2, 0, 0, 2]",0.4167305657707622,0.6403607185968897,0.4167305657707623,0.009286910880602198,"{""degradation"": 0.3348230447537607, ""nominal"": 0.4546409266409267, ""surge"": 0.46072772591759925}","{""degradation"": 0.6403607185968897, ""nominal"": 0.49305366385181143, ""surge"": 0.5159808371469657}"
"[1, 0, 0, 0, 0, 1, 1, 0, 0, 0, 0, 1]",100001100001,"[""100001100001""]",65,0.015869140625,True,False,"[0, 2, 0, 2]",0.3447858282297432,0.6574025420720016,0.34478582822974313,0.005632681966602084,"{""degradation"": 0.33856812933025404, ""nominal"": 0.3474285714285714, ""surge"": 0.34836078393040415}","{""degradation"": 0.6574025420720016, ""nominal"": 0.2566739308090437, ""surge"": 0.2767427728282065}"
"[1, 0, 0, 0, 1, 0, 0, 0, 1, 1, 0, 0]",100010001100,"[""1100010001""]",62,0.01513671875,True,False,"[0, 1, 2, 0]",0.2627906253166288,0.4377689412767168,0.262790625316629,0.0014679681663248212,"{""degradation"": 0.29030179139878914, ""nominal"": 0.2544710424710425, ""surge"": 0.24359904208005473}","{""degradation"": 0.4377689412767168, ""nominal"": 0.05172296377008994, ""surge"": 0.053696778234927994}"
"[0, 1, 0, 1, 0, 0, 0, 1, 0, 1, 0, 0]",010100010100,"[""1010001010""]",61,0.014892578125,True,False,"[1, 0, 1, 0]",0.27606894386921865,0.21212809770645472,0.27606894386921865,0.0021424027009773737,"{""degradation"": 0.24071531115411027, ""nominal"": 0.2927258687258687, ""surge"": 0.294765651727677}","{""degradation"": 0.21212809770645472, ""nominal"": 0.13606646690275115, ""surge"": 0.16263451769254927}"
"[1, 0, 0, 0, 0, 1, 0, 0, 1, 1, 0, 0]",100001001100,"[""1100100001""]",61,0.014892578125,True,False,"[0, 2, 2, 0]",0.4475355117655817,0.7879429098913586,0.4475355117655818,0.010851560752099762,"{""degradation"": 0.3672554771861932, ""nominal"": 0.48707335907335925, ""surge"": 0.48827769903719265}","{""degradation"": 0.7879429098913586, ""nominal"": 0.5645600653772815, ""surge"": 0.5746368984814146}"
"[0, 0, 1, 0, 1, 0, 1, 0, 0, 1, 0, 0]",001010100100,"[""1001010100""]",60,0.0146484375,True,False,"[2, 1, 0, 0]",0.25258405346448726,0.36397784562948227,0.25258405346448737,0.0009495542940989234,"{""degradation"": 0.27408557518257287, ""nominal"": 0.23825482625482625, ""surge"": 0.24541175895606265}","{""degradation"": 0.36397784562948227, ""nominal"": 0.015969763007354875, ""surge"": 0.05755619514976673}"
"[0, 0, 1, 1, 0, 0, 1, 0, 0, 0, 1, 0]",001100100010,"[""10001001100""]",60,0.0146484375,True,False,"[2, 0, 0, 1]",0.2632765904861382,0.36397784562948227,0.2632765904861384,0.0014926513889525453,"{""degradation"": 0.27408557518257287, ""nominal"": 0.23825482625482625, ""surge"": 0.27748937002101554}","{""degradation"": 0.36397784562948227, ""nominal"": 0.015969763007354875, ""surge"": 0.1258519540574343}"
"[1, 0, 0, 0, 1, 0, 0, 1, 0, 1, 0, 0]",100010010100,"[""1010010001""]",60,0.0146484375,True,False,"[0, 1, 1, 0]",0.23388915610648003,0.18375346162039355,0.23388915610648003,0.0,"{""degradation"": 0.23447974533424884, ""nominal"": 0.23101158301158303, ""surge"": 0.2361761399736083}","{""degradation"": 0.18375346162039355, ""nominal"": 0.0, ""surge"": 0.0378928353655363}"
