routes,counts,probability,bitstring
"[1, 0, 0, 1, 0, 0, 1, 0, 0, 1, 0, 0]",210,0.05126953125,001001001001
"[0, 1, 0, 1, 0, 0, 1, 0, 0, 1, 0, 0]",150,0.03662109375,001001001010
"[1, 0, 0, 0, 0, 1, 1, 0, 0, 1, 0, 0]",145,0.035400390625,001001100001
"[1, 0, 0, 1, 0, 0, 1, 0, 0, 0, 0, 1]",135,0.032958984375,100001001001
"[1, 0, 0, 1, 0, 0, 0, 0, 1, 1, 0, 0]",127,0.031005859375,001100001001
"[1, 0, 0, 0, 1, 0, 1, 0, 0, 1, 0, 0]",121,0.029541015625,001001010001
"[1, 0, 0, 1, 0, 0, 0, 1, 0, 1, 0, 0]",119,0.029052734375,001010001001
"[0, 0, 1, 1, 0, 0, 1, 0, 0, 1, 0, 0]",109,0.026611328125,001001001100
"[1, 0, 0, 1, 0, 0, 1, 0, 0, 0, 1, 0]",100,0.0244140625,010001001001
"[1, 0, 0, 0, 0, 1, 0, 0, 1, 1, 0, 0]",86,0.02099609375,001100100001
"[1, 0, 0, 0, 1, 0, 0, 1, 0, 1, 0, 0]",72,0.017578125,001010010001
"[1, 0, 0, 0, 1, 0, 1, 0, 0, 0, 1, 0]",72,0.017578125,010001010001
"[0, 0, 1, 1, 0, 0, 1, 0, 0, 0, 1, 0]",71,0.017333984375,010001001100
"[0, 1, 0, 0, 1, 0, 1, 0, 0, 1, 0, 0]",68,0.0166015625,001001010010
"[1, 0, 0, 1, 0, 0, 0, 0, 1, 0, 1, 0]",66,0.01611328125,010100001001
"[0, 0, 1, 1, 0, 0, 1, 0, 0, 0, 0, 1]",65,0.015869140625,100001001100
"[0, 0, 1, 1, 0, 0, 0, 1, 0, 1, 0, 0]",64,0.015625,001010001100
"[1, 0, 0, 1, 0, 0, 0, 1, 0, 0, 0, 1]",64,0.015625,100010001001
"[1, 0, 0, 1, 0, 0, 0, 1, 0, 0, 1, 0]",63,0.015380859375,010010001001
"[0, 1, 0, 1, 0, 0, 1, 0, 0, 0, 0, 1]",62,0.01513671875,100001001010
"[1, 0, 0, 0, 1, 0, 1, 0, 0, 0, 0, 1]",62,0.01513671875,100001010001
"[1, 0, 0, 0, 0, 1, 0, 1, 0, 1, 0, 0]",61,0.014892578125,001010100001
"[1, 0, 0, 1, 0, 0, 0, 0, 1, 0, 0, 1]",61,0.014892578125,100100001001
"[0, 0, 1, 0, 1, 0, 1, 0, 0, 1, 0, 0]",58,0.01416015625,001001010100
"[0, 0, 1, 1, 0, 0, 0, 0, 1, 1, 0, 0]",58,0.01416015625,001100001100
"[0, 0, 1, 0, 0, 1, 1, 0, 0, 1, 0, 0]",57,0.013916015625,001001100100
"[0, 1, 0, 1, 0, 0, 0, 0, 1, 1, 0, 0]",57,0.013916015625,001100001010
