routes,counts,probability,bitstring
"[0, 1, 0, 0, 1, 0, 0, 1, 0, 0, 1, 0]",477,0.116455078125,010010010010
"[0, 0, 1, 0, 1, 0, 0, 1, 0, 0, 1, 0]",264,0.064453125,010010010100
"[0, 1, 0, 0, 0, 1, 0, 1, 0, 0, 1, 0]",261,0.063720703125,010010100010
"[0, 1, 0, 0, 1, 0, 0, 1, 0, 0, 0, 1]",258,0.06298828125,100010010010
"[0, 1, 0, 0, 1, 0, 0, 0, 1, 0, 1, 0]",244,0.0595703125,010100010010
"[0, 0, 1, 0, 1, 0, 0, 0, 1, 0, 1, 0]",138,0.03369140625,010100010100
"[0, 1, 0, 0, 0, 1, 0, 0, 1, 0, 1, 0]",138,0.03369140625,010100100010
"[0, 0, 1, 0, 0, 1, 0, 1, 0, 0, 1, 0]",136,0.033203125,010010100100
"[0, 1, 0, 0, 0, 1, 0, 1, 0, 0, 0, 1]",121,0.029541015625,100010100010
"[0, 1, 0, 0, 1, 0, 0, 0, 1, 0, 0, 1]",116,0.0283203125,100100010010
"[1, 0, 0, 0, 1, 0, 0, 1, 0, 0, 1, 0]",108,0.0263671875,010010010001
"[0, 0, 1, 0, 1, 0, 0, 1, 0, 0, 0, 1]",108,0.0263671875,100010010100
"[0, 1, 0, 0, 1, 0, 0, 1, 0, 1, 0, 0]",91,0.022216796875,001010010010
"[0, 1, 0, 1, 0, 0, 0, 1, 0, 0, 1, 0]",86,0.02099609375,010010001010
"[0, 1, 0, 0, 1, 0, 1, 0, 0, 0, 1, 0]",83,0.020263671875,010001010010
"[1, 0, 0, 0, 0, 1, 0, 1, 0, 0, 1, 0]",65,0.015869140625,010010100001
"[0, 1, 0, 0, 0, 1, 0, 0, 1, 0, 0, 1]",64,0.015625,100100100010
"[0, 0, 1, 0, 1, 0, 0, 0, 1, 0, 0, 1]",60,0.0146484375,100100010100
"[0, 0, 1, 0, 0, 1, 0, 0, 1, 0, 1, 0]",57,0.013916015625,010100100100
"[0, 1, 0, 0, 0, 1, 1, 0, 0, 0, 1, 0]",54,0.01318359375,010001100010
"[0, 0, 1, 0, 0, 1, 0, 1, 0, 0, 0, 1]",54,0.01318359375,100010100100
"[0, 1, 0, 0, 0, 1, 0, 1, 0, 1, 0, 0]",53,0.012939453125,001010100010
"[0, 1, 0, 1, 0, 0, 0, 0, 1, 0, 1, 0]",52,0.0126953125,010100001010
"[0, 0, 1, 0, 1, 0, 1, 0, 0, 0, 1, 0]",51,0.012451171875,010001010100
"[0, 1, 0, 1, 0, 0, 0, 1, 0, 0, 0, 1]",51,0.012451171875,100010001010
"[1, 0, 0, 0, 1, 0, 0, 0, 1, 0, 1, 0]",44,0.0107421875,010100010001
"[0, 0, 1, 0, 1, 0, 0, 1, 0, 1, 0, 0]",43,0.010498046875,001010010100
"[0, 1, 0, 0, 1, 0, 1, 0, 0, 0, 0, 1]",43,0.010498046875,100001010010
"[0, 0, 1, 1, 0, 0, 0, 1, 0, 0, 1, 0]",39,0.009521484375,010010001100
"[0, 0, 1, 0, 0, 1, 0, 0, 1, 0, 0, 1]",39,0.009521484375,100100100100
"[1, 0, 0, 0, 1, 0, 0, 1, 0, 0, 0, 1]",35,0.008544921875,100010010001
"[0, 1, 0, 0, 1, 0, 0, 0, 1, 1, 0, 0]",31,0.007568359375,001100010010
"[0, 0, 1, 0, 0, 1, 1, 0, 0, 0, 1, 0]",31,0.007568359375,010001100100
"[0, 0, 1, 0, 0, 1, 0, 1, 0, 1, 0, 0]",29,0.007080078125,001010100100
"[0, 1, 0, 0, 0, 1, 1, 0, 0, 0, 0, 1]",29,0.007080078125,100001100010
"[0, 0, 1, 0, 1, 0, 0, 0, 1, 1, 0, 0]",25,0.006103515625,001100010100
"[0, 0, 1, 0, 1, 0, 1, 0, 0, 0, 0, 1]",25,0.006103515625,100001010100
"[1, 0, 0, 0, 1, 0, 1, 0, 0, 0, 1, 0]",24,0.005859375,010001010001
"[1, 0, 0, 0, 0, 1, 0, 0, 1, 0, 1, 0]",23,0.005615234375,010100100001
"[0, 0, 1, 1, 0, 0, 0, 1, 0, 0, 0, 1]",23,0.005615234375,100010001100
"[0, 1, 0, 0, 1, 0, 1, 0, 0, 1, 0, 0]",22,0.00537109375,001001010010
