routes,amplitude,magnitude,phase,probability,bitstring
"[0, 1, 0, 0, 1, 0, 0, 1, 0, 0, 1, 0]",(0.06328817212639118+0.3290084672025244j),0.34,0.44π,0.1122519642220543,010010010010
"[0, 1, 0, 0, 0, 1, 0, 1, 0, 0, 1, 0]",(0.21203761604212204+0.12007386154677038j),0.24,0.16π,0.05937768284357936,010010100010
"[0, 1, 0, 0, 1, 0, 0, 0, 1, 0, 1, 0]",(0.21198417207919146+0.12003054769495652j),0.24,0.16π,0.059344621592051484,010100010010
"[0, 0, 1, 0, 1, 0, 0, 1, 0, 0, 1, 0]",(0.21201880076692925+0.11992396490796553j),0.24,0.16π,0.05933372923789378,010010010100
"[0, 1, 0, 0, 1, 0, 0, 1, 0, 0, 0, 1]",(0.21196143673465312+0.11989966053899037j),0.24,0.16π,0.059303579259983474,100010010010
"[0, 0, 1, 0, 0, 1, 0, 1, 0, 0, 1, 0]",(0.16620407274881294-0.06069923457094513j),0.18,-0.11π,0.03130819087579132,010010100100
"[0, 1, 0, 0, 0, 1, 0, 1, 0, 0, 0, 1]",(0.16619565007586018-0.060713274454704175j),0.18,-0.11π,0.03130709579914999,100010100010
"[0, 0, 1, 0, 1, 0, 0, 0, 1, 0, 1, 0]",(0.16618691857955695-0.06072439915038122j),0.18,-0.11π,0.031305544559143104,010100010100
"[0, 1, 0, 0, 1, 0, 0, 0, 1, 0, 0, 1]",(0.16616778459016324-0.06072711925709119j),0.18,-0.11π,0.03129951564886786,100100010010
"[0, 1, 0, 0, 0, 1, 0, 0, 1, 0, 1, 0]",(0.16570402152246258-0.06063553953633613j),0.18,-0.11π,0.03113449140357932,010100100010
"[0, 0, 1, 0, 1, 0, 0, 1, 0, 0, 0, 1]",(0.16552946445076525-0.06074485826454703j),0.18,-0.11π,0.031089941406937063,100010010100
"[0, 1, 0, 1, 0, 0, 0, 1, 0, 0, 1, 0]",(0.059605401690240055+0.13805748121633818j),0.15,0.37π,0.02261267203045444,010010001010
"[1, 0, 0, 0, 1, 0, 0, 1, 0, 0, 1, 0]",(0.059573201819463795+0.1380185330820264j),0.15,0.37π,0.022598081849136985,010010010001
"[0, 1, 0, 0, 1, 0, 0, 1, 0, 1, 0, 0]",(0.059470399052440635+0.13802727927282j),0.15,0.37π,0.02258825818691358,001010010010
"[0, 1, 0, 0, 1, 0, 1, 0, 0, 0, 1, 0]",(0.05949539298125934+0.13799445510466724j),0.15,0.37π,0.02258217142562851,010001010010
"[0, 1, 0, 0, 0, 1, 0, 0, 1, 0, 0, 1]",(0.04448066691732455-0.12004054560746985j),0.13,-0.39π,0.016388262319149024,100100100010
"[0, 0, 1, 0, 0, 1, 0, 0, 1, 0, 1, 0]",(0.044494977164160385-0.12001627315908478j),0.13,-0.39π,0.016383708815835205,010100100100
"[0, 0, 1, 0, 1, 0, 0, 0, 1, 0, 0, 1]",(0.04440410766382545-0.12001838587067795j),0.13,-0.39π,0.016376137724423555,100100010100
"[0, 0, 1, 0, 0, 1, 0, 1, 0, 0, 0, 1]",(0.0444285927499462-0.11999366056275258j),0.13,-0.39π,0.016372378428989656,100010100100
"[0, 1, 0, 1, 0, 0, 0, 0, 1, 0, 1, 0]",(0.10434726211963286+0.03231982259781721j),0.11,0.10π,0.01193292204461774,010100001010
"[1, 0, 0, 0, 0, 1, 0, 1, 0, 0, 1, 0]",(0.10431908830111232+0.03231906527943155j),0.11,0.10π,0.011926994164511429,010010100001
"[0, 1, 0, 1, 0, 0, 0, 1, 0, 0, 0, 1]",(0.10434540858710531+0.03221299437293136j),0.11,0.10π,0.011925641299680458,100010001010
"[0, 1, 0, 0, 1, 0, 0, 0, 1, 1, 0, 0]",(0.10431424330615058+0.03230332643831507j),0.11,0.10π,0.011924966255515129,001100010010
"[0, 1, 0, 0, 0, 1, 1, 0, 0, 0, 1, 0]",(0.10428826238943145+0.03236471646667413j),0.11,0.10π,0.01192351654417511,010001100010
"[0, 0, 1, 0, 1, 0, 0, 1, 0, 1, 0, 0]",(0.10427201890385208+0.03233037760278943j),0.11,0.10π,0.011917907242224236,001010010100
"[1, 0, 0, 0, 1, 0, 0, 1, 0, 0, 0, 1]",(0.10428819229650944+0.0322642122387351j),0.11,0.10π,0.011917006443859877,100010010001
"[0, 0, 1, 0, 1, 0, 1, 0, 0, 0, 1, 0]",(0.1042862325261075+0.032249354909991104j),0.11,0.10π,0.011915639186599929,010001010100
"[0, 1, 0, 0, 0, 1, 0, 1, 0, 1, 0, 0]",(0.10409915610011486+0.032264850950073094j),0.11,0.10π,0.011877654907586516,001010100010
"[1, 0, 0, 0, 1, 0, 0, 0, 1, 0, 1, 0]",(0.10411523210325103+0.032190037668352336j),0.11,0.10π,0.011876180081003775,010100010001
"[0, 1, 0, 0, 1, 0, 1, 0, 0, 0, 0, 1]",(0.1041026827655828+0.03215341014621819j),0.11,0.10π,0.011871210343022494,100001010010
"[0, 0, 1, 1, 0, 0, 0, 1, 0, 0, 1, 0]",(0.10406702003402515+0.03216056526604989j),0.11,0.10π,0.011864246616994048,010010001100
"[0, 0, 1, 0, 0, 1, 0, 0, 1, 0, 0, 1]",(-0.0452002851474904-0.08068682244637412j),0.09,-0.66π,0.008553429093907145,100100100100
"[0, 1, 0, 1, 0, 0, 0, 0, 1, 0, 0, 1]",(0.0670283843263017-0.04230956946197538j),0.08,-0.18π,0.006282903973452127,100100001010
"[0, 0, 1, 0, 1, 0, 0, 0, 1, 1, 0, 0]",(0.06703131803015605-0.04226393938221586j),0.08,-0.18π,0.006279438168963539,001100010100
"[1, 0, 0, 0, 0, 1, 0, 1, 0, 0, 0, 1]",(0.06702672650263289-0.04224669728641783j),0.08,-0.18π,0.0062773654972689726,100010100001
"[0, 0, 1, 0, 0, 1, 1, 0, 0, 0, 1, 0]",(0.06702362729844052-0.04223851139751888j),0.08,-0.18π,0.006276258461318594,010001100100
"[0, 1, 0, 0, 0, 1, 1, 0, 0, 0, 0, 1]",(0.06689493965388024-0.04220021925735939j),0.08,-0.18π,0.006255791456665487,100001100010
"[1, 0, 0, 0, 1, 0, 0, 0, 1, 0, 0, 1]",(0.06686672747613973-0.0422067400292353j),0.08,-0.18π,0.006252568147263793,100100010001
"[0, 0, 1, 0, 0, 1, 0, 1, 0, 1, 0, 0]",(0.06689868236365068-0.042145287554082464j),0.08,-0.18π,0.0062516589650089245,001010100100
"[0, 0, 1, 1, 0, 0, 0, 0, 1, 0, 1, 0]",(0.06686180934121916-0.04216852118472974j),0.08,-0.18π,0.006248685727288542,010100001100
"[0, 1, 0, 0, 0, 1, 0, 0, 1, 1, 0, 0]",(0.0666659826276689-0.04213212151901999j),0.08,-0.18π,0.006219468903406118,001100100010
"[1, 0, 0, 0, 0, 1, 0, 0, 1, 0, 1, 0]",(0.06665666366930569-0.04211881025542305j),0.08,-0.18π,0.006217104988855267,010100100001
"[0, 0, 1, 0, 1, 0, 1, 0, 0, 0, 0, 1]",(0.06658252812280172-0.04218629903246403j),0.08,-0.18π,0.006212916877280157,100001010100
"[0, 0, 1, 1, 0, 0, 0, 1, 0, 0, 0, 1]",(0.06655417736337707-0.04215066888724015j),0.08,-0.18π,0.006206137412157606,100010001100
"[0, 1, 0, 1, 0, 0, 1, 0, 0, 0, 1, 0]",(0.039036639383634254+0.05431284450658131j),0.07,0.30π,0.004473744292763985,010001001010
"[1, 0, 0, 0, 1, 0, 0, 1, 0, 1, 0, 0]",(0.03901088362222165+0.054316043669671424j),0.07,0.30π,0.004472081640912175,001010010001
"[0, 1, 0, 0, 1, 0, 1, 0, 0, 1, 0, 0]",(0.03889586434800742+0.0542673389731186j),0.07,0.30π,0.004457832342601951,001001010010
"[0, 1, 0, 1, 0, 0, 0, 1, 0, 1, 0, 0]",(0.03887377247806595+0.05421824686312894j),0.07,0.30π,0.004450788479587629,001010001010
"[1, 0, 0, 0, 1, 0, 1, 0, 0, 0, 1, 0]",(0.03886380088712555+0.05418763706431455j),0.07,0.30π,0.004446695030008016,010001010001
