routes,counts,probability,bitstring
"[0, 1, 0, 0, 1, 0, 0, 0, 1, 0, 0, 1]",240,0.0146484375,100100010010
"[0, 0, 1, 0, 0, 1, 0, 1, 0, 0, 1, 0]",238,0.0145263671875,010010100100
"[0, 1, 0, 0, 1, 0, 0, 0, 1, 0, 1, 0]",225,0.01373291015625,010100010010
"[0, 1, 0, 0, 1, 0, 1, 0, 0, 0, 0, 1]",220,0.013427734375,100001010010
"[0, 1, 0, 0, 1, 0, 1, 0, 0, 1, 0, 0]",219,0.01336669921875,001001010010
"[0, 1, 0, 0, 0, 1, 1, 0, 0, 0, 1, 0]",218,0.0133056640625,010001100010
"[1, 0, 0, 0, 0, 1, 0, 0, 1, 1, 0, 0]",215,0.01312255859375,001100100001
"[1, 0, 0, 1, 0, 0, 1, 0, 0, 0, 0, 1]",215,0.01312255859375,100001001001
"[1, 0, 0, 0, 1, 0, 0, 1, 0, 0, 0, 1]",214,0.0130615234375,100010010001
"[1, 0, 0, 0, 1, 0, 0, 0, 1, 0, 0, 1]",214,0.0130615234375,100100010001
"[1, 0, 0, 0, 1, 0, 1, 0, 0, 0, 1, 0]",213,0.01300048828125,010001010001
"[0, 0, 1, 0, 1, 0, 1, 0, 0, 0, 0, 1]",213,0.01300048828125,100001010100
"[0, 0, 1, 1, 0, 0, 0, 0, 1, 1, 0, 0]",212,0.012939453125,001100001100
"[0, 0, 1, 1, 0, 0, 1, 0, 0, 0, 0, 1]",212,0.012939453125,100001001100
"[1, 0, 0, 0, 1, 0, 1, 0, 0, 0, 0, 1]",212,0.012939453125,100001010001
"[0, 0, 1, 0, 1, 0, 0, 1, 0, 0, 0, 1]",212,0.012939453125,100010010100
"[1, 0, 0, 1, 0, 0, 0, 1, 0, 0, 1, 0]",211,0.01287841796875,010010001001
"[0, 0, 1, 1, 0, 0, 0, 1, 0, 0, 1, 0]",211,0.01287841796875,010010001100
"[0, 0, 1, 0, 0, 1, 1, 0, 0, 0, 0, 1]",211,0.01287841796875,100001100100
"[1, 0, 0, 0, 0, 1, 0, 1, 0, 0, 1, 0]",210,0.0128173828125,010010100001
"[1, 0, 0, 0, 1, 0, 1, 0, 0, 1, 0, 0]",209,0.01275634765625,001001010001
"[0, 1, 0, 0, 1, 0, 0, 1, 0, 0, 1, 0]",209,0.01275634765625,010010010010
"[1, 0, 0, 0, 0, 1, 0, 0, 1, 0, 1, 0]",209,0.01275634765625,010100100001
"[0, 1, 0, 1, 0, 0, 0, 1, 0, 1, 0, 0]",208,0.0126953125,001010001010
"[0, 1, 0, 1, 0, 0, 1, 0, 0, 0, 1, 0]",208,0.0126953125,010001001010
"[1, 0, 0, 0, 1, 0, 0, 0, 1, 0, 1, 0]",208,0.0126953125,010100010001
"[0, 1, 0, 0, 0, 1, 0, 0, 1, 1, 0, 0]",207,0.01263427734375,001100100010
"[1, 0, 0, 1, 0, 0, 0, 0, 1, 1, 0, 0]",206,0.0125732421875,001100001001
"[1, 0, 0, 0, 0, 1, 1, 0, 0, 0, 1, 0]",206,0.0125732421875,010001100001
