routes,amplitude,magnitude,phase,probability,bitstring
"[0, 0, 1, 0, 0, 1, 0, 0, 1, 0, 0, 1]",(0.11111111111111215+0j),0.11,0.00π,0.012345679012345909,100100100100
"[0, 0, 1, 0, 0, 1, 0, 0, 1, 1, 0, 0]",(0.11111111111111177+0j),0.11,0.00π,0.012345679012345826,001100100100
"[0, 0, 1, 0, 0, 1, 1, 0, 0, 0, 0, 1]",(0.11111111111111177+0j),0.11,0.00π,0.012345679012345826,100001100100
"[0, 0, 1, 1, 0, 0, 0, 0, 1, 0, 0, 1]",(0.11111111111111177+0j),0.11,0.00π,0.012345679012345826,100100001100
"[1, 0, 0, 0, 0, 1, 0, 0, 1, 0, 0, 1]",(0.11111111111111177+0j),0.11,0.00π,0.012345679012345826,100100100001
"[0, 1, 0, 0, 0, 1, 0, 0, 1, 0, 0, 1]",(0.11111111111111176+0j),0.11,0.00π,0.012345679012345822,100100100010
"[0, 0, 1, 0, 0, 1, 0, 0, 1, 0, 1, 0]",(0.11111111111111174+0j),0.11,0.00π,0.012345679012345819,010100100100
"[0, 0, 1, 0, 0, 1, 0, 1, 0, 0, 0, 1]",(0.11111111111111173+0j),0.11,0.00π,0.012345679012345817,100010100100
"[0, 0, 1, 0, 1, 0, 0, 0, 1, 0, 0, 1]",(0.11111111111111173+0j),0.11,0.00π,0.012345679012345817,100100010100
"[0, 0, 1, 0, 0, 1, 1, 0, 0, 1, 0, 0]",(0.1111111111111114+0j),0.11,0.00π,0.012345679012345743,001001100100
"[0, 0, 1, 1, 0, 0, 0, 0, 1, 1, 0, 0]",(0.1111111111111114+0j),0.11,0.00π,0.012345679012345743,001100001100
"[1, 0, 0, 0, 0, 1, 0, 0, 1, 1, 0, 0]",(0.1111111111111114+0j),0.11,0.00π,0.012345679012345743,001100100001
"[0, 0, 1, 1, 0, 0, 1, 0, 0, 0, 0, 1]",(0.1111111111111114+0j),0.11,0.00π,0.012345679012345743,100001001100
"[1, 0, 0, 0, 0, 1, 1, 0, 0, 0, 0, 1]",(0.1111111111111114+0j),0.11,0.00π,0.012345679012345743,100001100001
"[1, 0, 0, 1, 0, 0, 0, 0, 1, 0, 0, 1]",(0.1111111111111114+0j),0.11,0.00π,0.012345679012345743,100100001001
"[0, 1, 0, 1, 0, 0, 0, 0, 1, 0, 0, 1]",(0.1111111111111114+0j),0.11,0.00π,0.012345679012345743,100100001010
"[1, 0, 0, 0, 1, 0, 0, 0, 1, 0, 0, 1]",(0.1111111111111114+0j),0.11,0.00π,0.012345679012345743,100100010001
"[0, 1, 0, 0, 0, 1, 0, 0, 1, 1, 0, 0]",(0.11111111111111138+0j),0.11,0.00π,0.012345679012345739,001100100010
"[0, 1, 0, 0, 0, 1, 1, 0, 0, 0, 0, 1]",(0.11111111111111138+0j),0.11,0.00π,0.012345679012345739,100001100010
"[0, 0, 1, 1, 0, 0, 0, 1, 0, 0, 0, 1]",(0.11111111111111138+0j),0.11,0.00π,0.012345679012345739,100010001100
"[1, 0, 0, 0, 0, 1, 0, 1, 0, 0, 0, 1]",(0.11111111111111138+0j),0.11,0.00π,0.012345679012345739,100010100001
"[0, 0, 1, 0, 0, 1, 0, 1, 0, 1, 0, 0]",(0.11111111111111137+0j),0.11,0.00π,0.012345679012345736,001010100100
"[0, 0, 1, 0, 0, 1, 1, 0, 0, 0, 1, 0]",(0.11111111111111137+0j),0.11,0.00π,0.012345679012345736,010001100100
"[0, 0, 1, 1, 0, 0, 0, 0, 1, 0, 1, 0]",(0.11111111111111137+0j),0.11,0.00π,0.012345679012345736,010100001100
"[1, 0, 0, 0, 0, 1, 0, 0, 1, 0, 1, 0]",(0.11111111111111137+0j),0.11,0.00π,0.012345679012345736,010100100001
"[0, 0, 1, 0, 1, 0, 1, 0, 0, 0, 0, 1]",(0.11111111111111137+0j),0.11,0.00π,0.012345679012345736,100001010100
"[0, 0, 1, 0, 1, 0, 0, 0, 1, 1, 0, 0]",(0.11111111111111135+0j),0.11,0.00π,0.012345679012345734,001100010100
"[0, 1, 0, 0, 0, 1, 0, 0, 1, 0, 1, 0]",(0.11111111111111135+0j),0.11,0.00π,0.012345679012345734,010100100010
"[0, 1, 0, 0, 0, 1, 0, 1, 0, 0, 0, 1]",(0.11111111111111134+0j),0.11,0.00π,0.01234567901234573,100010100010
"[0, 1, 0, 0, 1, 0, 0, 0, 1, 0, 0, 1]",(0.11111111111111134+0j),0.11,0.00π,0.01234567901234573,100100010010
