claim_id,slide,metric,value,unit,source_artifact,source_field_or_row,notes
MAIN1-nominal-survived,MAIN-1,nominal_scenarios_survived,20.0,scenarios,artifacts/post6a/heldout/heldout_route_summary.csv,route_id=nominal_only; survival_rate * scenario_count,
MAIN1-nominal-scenario-count,MAIN-1,nominal_scenario_count,24.0,scenarios,artifacts/post6a/heldout/heldout_route_summary.csv,route_id=nominal_only; scenario_count,
MAIN1-nominal-survival,MAIN-1,nominal_survival,83.33333333333334,percent,artifacts/post6a/heldout/heldout_route_summary.csv,route_id=nominal_only; survival_rate,Chart displays one decimal place.
MAIN1-nominal-violations,MAIN-1,nominal_capacity_violations,4.0,scenarios,artifacts/post6a/heldout/heldout_route_summary.csv,route_id=nominal_only; violating_scenarios,
MAIN1-static_multienvironment-survived,MAIN-1,static_multienvironment_scenarios_survived,24.0,scenarios,artifacts/post6a/heldout/heldout_route_summary.csv,route_id=static_uniform_multiscenario; survival_rate * scenario_count,
MAIN1-static_multienvironment-scenario-count,MAIN-1,static_multienvironment_scenario_count,24.0,scenarios,artifacts/post6a/heldout/heldout_route_summary.csv,route_id=static_uniform_multiscenario; scenario_count,
MAIN1-static_multienvironment-survival,MAIN-1,static_multienvironment_survival,100.0,percent,artifacts/post6a/heldout/heldout_route_summary.csv,route_id=static_uniform_multiscenario; survival_rate,Chart displays one decimal place.
MAIN1-static_multienvironment-violations,MAIN-1,static_multienvironment_capacity_violations,0.0,scenarios,artifacts/post6a/heldout/heldout_route_summary.csv,route_id=static_uniform_multiscenario; violating_scenarios,
MAIN1-adaptive-survived,MAIN-1,adaptive_scenarios_survived,22.0,scenarios,artifacts/post6a/heldout/heldout_route_summary.csv,route_id=exact_adaptive; survival_rate * scenario_count,
MAIN1-adaptive-scenario-count,MAIN-1,adaptive_scenario_count,24.0,scenarios,artifacts/post6a/heldout/heldout_route_summary.csv,route_id=exact_adaptive; scenario_count,
MAIN1-adaptive-survival,MAIN-1,adaptive_survival,91.66666666666666,percent,artifacts/post6a/heldout/heldout_route_summary.csv,route_id=exact_adaptive; survival_rate,Chart displays one decimal place.
MAIN1-adaptive-violations,MAIN-1,adaptive_capacity_violations,2.0,scenarios,artifacts/post6a/heldout/heldout_route_summary.csv,route_id=exact_adaptive; violating_scenarios,
MAIN2-D4-D,MAIN-2,demand_count,4.0,demands,stage6a/artifacts/scaling/tables/scaling_manifest.csv,D,
MAIN2-D4-qubits,MAIN-2,synthesized_qubits,12.0,qubits,artifacts/circuits/uniform_cost_p1.synthesis.json,metrics.width,
MAIN2-D4-depth,MAIN-2,circuit_depth,65.0,layers,artifacts/circuits/uniform_cost_p1.synthesis.json,metrics.depth,
MAIN2-D4-twoq,MAIN-2,two_qubit_gates,84.0,gates,artifacts/circuits/uniform_cost_p1.synthesis.json,metrics.count_ops.cx,
MAIN2-D5-D,MAIN-2,demand_count,5.0,demands,stage6a/artifacts/scaling/tables/scaling_manifest.csv,D,
MAIN2-D5-qubits,MAIN-2,synthesized_qubits,15.0,qubits,stage6a/artifacts/scaling/circuits/qera-d5-seed6105-p1.synthesis.json,synthesized_qubits,
MAIN2-D5-depth,MAIN-2,circuit_depth,79.0,layers,stage6a/artifacts/scaling/circuits/qera-d5-seed6105-p1.synthesis.json,depth,
MAIN2-D5-twoq,MAIN-2,two_qubit_gates,136.0,gates,stage6a/artifacts/scaling/circuits/qera-d5-seed6105-p1.synthesis.json,two_qubit_gate_count,
MAIN2-D6-D,MAIN-2,demand_count,6.0,demands,stage6a/artifacts/scaling/tables/scaling_manifest.csv,D,
MAIN2-D6-qubits,MAIN-2,synthesized_qubits,18.0,qubits,stage6a/artifacts/scaling/circuits/qera-d6-seed6106-p1.synthesis.json,synthesized_qubits,
MAIN2-D6-depth,MAIN-2,circuit_depth,138.0,layers,stage6a/artifacts/scaling/circuits/qera-d6-seed6106-p1.synthesis.json,depth,
MAIN2-D6-twoq,MAIN-2,two_qubit_gates,160.0,gates,stage6a/artifacts/scaling/circuits/qera-d6-seed6106-p1.synthesis.json,two_qubit_gate_count,
MAIN2-D8-D,MAIN-2,demand_count,8.0,demands,stage6a/artifacts/scaling/tables/scaling_manifest.csv,D,
MAIN2-D8-qubits,MAIN-2,synthesized_qubits,24.0,qubits,stage6a/artifacts/scaling/circuits/qera-d8-seed6108-p1.synthesis.json,synthesized_qubits,
