routes,canonical_bitstring,provider_bitstrings,counts,probability,one_hot,joint_feasible,assignment,weighted_cost,worst_case_regret,base_energy,transformed_energy,scenario_costs,scenario_regrets
"[0, 0, 0, 1, 1, 0, 0, 1, 1, 0, 1, 0, 0, 0, 1]",000110011010001,"[""100010110011000""]",3,0.000732421875,False,False,,,,3.614960042272889,0.1432749549638749,{},{}
"[0, 0, 0, 1, 1, 0, 1, 1, 0, 0, 1, 1, 1, 0, 0]",000110110011100,"[""1110011011000""]",3,0.000732421875,False,False,,,,4.838272084901432,0.19470213473857192,{},{}
"[0, 1, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 1, 0, 1]",010000000100101,"[""101001000000010""]",3,0.000732421875,False,False,,,,2.905379899417614,0.11344470372825122,{},{}
"[0, 1, 0, 0, 0, 1, 1, 1, 1, 1, 0, 0, 0, 0, 0]",010001111100000,"[""1111100010""]",3,0.000732421875,False,False,,,,5.703396642374037,0.2310713640065605,{},{}
"[0, 1, 0, 1, 0, 0, 1, 0, 1, 0, 1, 0, 0, 0, 0]",010100101010000,"[""10101001010""]",3,0.000732421875,False,False,,,,2.2831395941151986,0.08728615796989277,{},{}
"[0, 1, 1, 0, 0, 0, 0, 1, 1, 0, 1, 1, 1, 0, 1]",011000011011101,"[""101110110000110""]",3,0.000732421875,False,False,,,,6.328882756032035,0.25736636127034035,{},{}
"[1, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 1, 1]",100000001000011,"[""110000100000001""]",3,0.000732421875,False,False,,,,3.0109339970776605,0.11788212391799707,{},{}
"[1, 0, 0, 0, 0, 0, 0, 1, 0, 1, 1, 0, 1, 1, 1]",100000010110111,"[""111011010000001""]",3,0.000732421875,False,False,,,,6.749927288833601,0.27506677794817597,{},{}
"[1, 0, 0, 0, 0, 0, 1, 0, 1, 1, 0, 1, 1, 1, 1]",100000101101111,"[""111101101000001""]",3,0.000732421875,False,False,,,,8.220904198938591,0.3369056149450322,{},{}
"[1, 1, 0, 0, 0, 1, 1, 1, 0, 0, 0, 1, 0, 1, 1]",110001110001011,"[""110100011100011""]",3,0.000732421875,False,False,,,,4.196269516114521,0.1677127972921105,{},{}
"[1, 1, 1, 1, 1, 0, 1, 0, 1, 1, 1, 0, 1, 0, 0]",111110101110100,"[""1011101011111""]",3,0.000732421875,False,False,,,,9.032430608571554,0.37102161569201525,{},{}
"[1, 1, 1, 1, 1, 1, 1, 0, 1, 1, 0, 0, 0, 1, 0]",111111101100010,"[""10001101111111""]",3,0.000732421875,False,False,,,,11.03937518191929,0.4553921571195607,{},{}
"[0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 1, 1, 0, 1, 1]",000000100011011,"[""110110001000000""]",2,0.00048828125,False,False,,,,4.202432202159779,0.16797187228859584,{},{}
"[0, 0, 0, 0, 0, 0, 1, 1, 0, 0, 1, 1, 1, 1, 1]",000000110011111,"[""111110011000000""]",2,0.00048828125,False,False,,,,8.77437591597322,0.36017317751311606,{},{}
